word	n_tokens	n_docs	sites	top_series	damaged_share
sa	11	9	KN:10,PY:1	C-:3,X-:3,D-:2	0.91
we	11	10	KN:6,PY:2,TH:1,MY:1	K-:2,C-:1,Ch:1	0.82
po-ni-ki-jo	11	10	KN:11	Ga:7,Bg:4	0.55
wo	11	11	KN:9,PY:2	V-:3,Uf:1,C-:1	1.00
ka-ma	11	8	PY:9,KN:2	Ep:4,Eb:3,L-:1	0.55
me	11	10	KN:9,PY:1,TH:1	Ak:4,Xd:2,L-:1	0.91
te-re-ta	11	10	PY:6,KN:5	Uf:2,En:2,Am:1	0.55
pte-re-wa	11	11	KN:11	So:7,Se:4	0.18
wa-to	11	9	TH:6,KN:5	Z-:6,C-:3,Co:1	0.36
ro-u-so	11	11	PY:11	Aa:2,Ab:2,Cn:2	0.27
me-ta-qe	11	5	PY:11	An:11	0.00
we-te-i-we-te-i	11	1	PY:11	Es:11	0.18
me-zo-a2	11	11	PY:11	Sh:11	0.00
me-u-jo-a2	11	11	PY:11	Sh:11	0.00
a-ko-da-mo	11	11	TH:11	Ft:6,Fq:4,Av:1	0.27
ku-do-ni-ja	10	10	KN:10	Lc:2,Ce:1,Fh:1	0.30
to-pe-za	10	4	PY:9,KN:1	Ta:9,V-:1	0.00
po-ku-ta	10	8	KN:8,PY:2	C-:4,Bo:3,An:2	0.10
me-zo	10	9	KN:10	Ak:9,Lc:1	0.30
pe-re	10	6	PY:6,KN:3,TH:1	Od:3,Tn:3,Cc:1	0.40
me-wi-jo-e	10	6	KN:10	Ak:6,Ai:2,K-:2	0.70
ri-jo	10	10	PY:7,KN:3	An:3,Cn:2,Le:1	0.40
se	10	10	KN:10	Do:6,Bk:1,As:1	0.50
wi-na-jo	10	10	KN:8,AR:1,MI:1	Z-:3,Db:2,K-:1	0.10
te-mi-dwe-ta	10	10	KN:8,PY:2	So:8,Sa:2	0.00
a-ko-ra	10	6	PY:6,TH:3,KN:1	Cn:6,Wu:3,Dk:1	0.30
ne-wa	10	9	PY:5,KN:4,TH:1	So:2,Ub:2,Dp:1	0.30
ki-ri-jo-te	10	10	KN:10	Da:5,Dd:1,Dc:1	0.60
a-ra-ro-mo-te-me-na	10	10	KN:10	Sd:10	0.30
a-ja-me-na	10	10	KN:8,PY:2	Sd:4,Sf:4,Ta:2	0.20
ka-pa	9	9	TH:7,KN:1,PY:1	Ft:7,F-:1,Un:1	0.11
qa-mo	9	9	KN:9	Dg:2,F-:1,Ga:1	0.44
ko-ri-ja-do-no	9	9	KN:9	Ga:9	0.11
ko-u-ra	9	9	KN:7,PY:1,MY:1	Lc:7,La:1,L-:1	0.33
re-u-ko-nu-ka	9	9	KN:9	Ld:9	0.44
ke	9	8	KN:5,PY:4	As:2,Na:2,L-:1	0.56
mi	9	5	KN:8,PY:1	Ln:4,Le:3,X-:1	0.33
zo-wa	9	9	TH:6,KN:3	Fq:5,X-:1,Ra:1	0.33
di-pa	9	2	KN:5,PY:4	K-:5,Ta:4	0.00
za	9	9	KN:9	Do:7,Vs:1,Ak:1	0.56
pu-so	9	9	KN:9	Da:3,Dv:3,Dc:2	0.44
wa-na-ka-te-ro	9	8	PY:7,KN:1,TH:1	En:3,Eo:3,X-:1	0.22
a3-mi-re-we	9	9	KN:9	Dm:9	0.44
a-te-jo	9	9	KN:9	De:3,Dc:2,Dv:1	0.44
ke-ra-ja-pi	9	9	KN:9	Sd:8,Sf:1	0.22
ka-ma-e-u	9	6	PY:9	Eb:5,Ep:4	0.33
pa-ko-we	9	9	PY:9	Fr:9	0.22
au-de-pi	9	4	PY:9	Ta:9	0.00
to-jo	9	9	TH:8,HV:1	Fq:7,Gp:1,Lg:1	0.78
tu-ri-so	8	8	KN:8	Db:3,Ce:1,X-:1	0.25
ro	8	8	KN:5,PY:2,TH:1	X-:3,U-:1,Ap:1	1.00
so	8	8	KN:6,PY:1,TH:1	L-:3,Np:1,Dv:1	1.00
qa	8	8	KN:7,PY:1	Dv:2,X-:2,Xd:1	1.00
