doc	context	sigla	epoch
HTWa1109	LMIB		LM
HTWa1110	LMIB		LM
HTWa1111	LMIB		LM
HTWa1112	LMIB		LM
HTWa1113	LMIB		LM
HTWa1114	LMIB		LM
HTWa1115	LMIB		LM
HTWa1116	LMIB		LM
HTWa1117	LMIB		LM
HTWa1118	LMIB		LM
HTWa1119	LMIB		LM
HTWa1120	LMIB		LM
HTWa1121	LMIB		LM
HTWa1122	LMIB		LM
HTWa1123	LMIB		LM
HTWa1124	LMIB		LM
HTWa1125	LMIB		LM
HTWa1126	LMIB		LM
HTWa1127	LMIB		LM
HTWa1128	LMIB	LMIB	LM
HTWa1129	LMIB		LM
HTWa1130	LMIB		LM
HTWa1131	LMIB		LM
HTWa1132	LMIB		LM
HTWa1133	LMIB		LM
HTWa1134	LMIB		LM
HTWa1135	LMIB		LM
HTWa1136	LMIB		LM
HTWa1137	LMIB		LM
HTWa1138	LMIB		LM
HTWa1139	LMIB		LM
HTWa1140	LMIB		LM
HTWa1141	LMIB		LM
HTWa1142	LMIB		LM
HTWa1143	LMIB		LM
HTWa1144	LMIB		LM
HTWa1145	LMIB		LM
HTWa1146	LMIB		LM
HTWa1147	LMIB	LMIB	LM
HTWa1148	LMIB	LMIB	LM
HTWa1149	LMIB		LM
HTWa1150	LMIB	LMIB	LM
HTWa1151	LMIB		LM
HTWa1152	LMIB		LM
HTWa1153	LMIB		LM
HTWa1154	LMIB		LM
HTWa1155	LMIB		LM
HTWa1156	LMIB		LM
HTWa1157	LMIB		LM
HTWa1158	LMIB		LM
HTWa1159	LMIB		LM
HTWa1160	LMIB		LM
HTWa1161	LMIB		LM
HTWa1162	LMIB		LM
HTWa1163	LMIB		LM
HTWa1164	LMIB		LM
HTWa1165	LMIB		LM
HTWa1166	LMIB		LM
HTWa1167	LMIB		LM
HTWa1168	LMIB		LM
HTWa1169	LMIB		LM
HTWa1170	LMIB	LMIB	LM
HTWa1171	LMIB		LM
HTWa1172	LMIB	LMIB	LM
HTWa1173	LMIB		LM
HTWa1174	LMIB		LM
HTWa1175	LMIB		LM
HTWa1176	LMIB	LMIB	LM
HTWa1177	LMIB		LM
HTWa1178	LMIB		LM
HTWa1179	LMIB		LM
HTWa1180	LMIB		LM
HTWa1181	LMIB		LM
HTWa1182	LMIB		LM
HTWa1183	LMIB		LM
HTWa1184	LMIB		LM
HTWa1185	LMIB		LM
HTWa1186	LMIB		LM
HTWa1187	LMIB		LM
HTWa1188	LMIB		LM
HTWa1189	LMIB		LM
HTWa1190	LMIB		LM
HTWa1191	LMIB		LM
HTWa1192	LMIB		LM
HTWa1193	LMIB		LM
HTWa1194	LMIB		LM
HTWa1195	LMIB		LM
HTWa1196	LMIB		LM
HTWa1197	LMIB		LM
HTWa1198	LMIB		LM
HTWa1199	LMIB	LMIB	LM
HTWa1200	LMIB		LM
HTWa1201	LMIB		LM
HTWa1202	LMIB		LM
