word	slots	n_tablets
i-ra-ko-to	N5	1
pi-we-re	N1	1
o-wi-ro	N3	1
si-ki-to	N3	1
di-ko-to	N3	1
e-ma-a2-o	N1	1
di-za-so	N3	1
a2-ra-tu-a	N1b	1
i-wa-si-jo-ta	N1	1
o-ru-ma-to	N1b	1
a2-ka-a2-ki-ri-ja-jo	N1b	1
u-ru-pi-ja-jo-jo	N1	1
e-pi-jo-ta-na	N1	1
si-ni-to	N3	1
wi-ja-we-ra2	N1b	1
a-ko-te-u	N1	1
ku-ka-ra-so	N1b	1
pu-ma-ra-ko	N1b	1
di-ta-ka-so	N3	1
ku-jo	N3	1
u-ta	N3	1
e-u-me-ta	N3	1
a-no-ke-wa	N1	1
ko-ro-su-ka	N1	1
a-ta-wo	N1	1
ta-ra-to	N1	1
me-to-qe-u	N1	1
a-ke-o	N1b	1
ki-du-ro	N1	1
qa-ra2	N1	1
ko-to-ne-we	N1	1
te-jo	N3	1
re-ta-mo	N1	1
wa-da-ko	N1	1
si-no-u-ro	N1	1
e-ke-da-mo	N1	1
o-ki-ra	N1	1
o-ti-na-wo	N1	1
du-pi-jo	N6	1
ki-ri-te-wi-ja	N4	1
ke-ke-me-na-o	N4	1
ka-ra-wi-po-ro	N4	1
ko-ku-ro	N1	1
to-na-ta	N1	1
a-so-qi-jo	N1	1
pi-ri-u-wo	N1	1
e-ne-ra	N1	1
te-ra	N3	1
tu-ma-ko	N1	1
ra-mi-ni-ja	N1	1
te-re-do	N1b	1
ka-na-pe-u	N1	1
na-ma-ru-ko	N1	1
ke-ra-me-u	N1	1
da-u-da-ro	N1b	1
pe-re-ke-u	N1	1
di-u-ja	N1b	1
ke-re-ta-o	N1b	1
a-sa-ma-o	N1	1
mo-ri-wo	N1	1
ma-ni-ko	N1	1
pa-ra-ku	N1	1
e-mi-to	N1	1
e-ki-si-jo	N1	1
ka-te-ro	N4	1
a-te-we	N1	1
pa-ko	N1b	1
na-ka	N4	1
ko-pe-re-u	N4	1
a-re-ku-tu-ru-wo	N4	1
o-po-ro-me-no	N4	1
wo-ro-ti-ja-o	N4	1
ka-ra-i	N4	1
a-ne-o	N4	1
ru-ko-wo-ro	N4	1
o-ka	N4	1
pi-ro-ta-wo	N4	1
ku-da-ma-ro	N4	1
pi-ro-te-ko-to	N4	1
ta-ro	N3	1
e-ri-qi-jo	N4	1
na-wi-ro	N3	1
na-so	N1	1
wa-ni-jo	N1	1
tu-si-jo	N1	1
ro-jo	N1	1
o-ko-me-ne-u	N4	1
ki-da-ro	N7	1
sa-qa-re	N3	1
pe-qo-ta	N7	1
a-ra-si-jo	N3	1
mo-ro-qo-ro-jo	N2	1
po-me-no	N7	1
qe-re-ma-o	N5	1
sa-me	N1	1
pi-ja-to	N1	1
to-pe-si	N1	1
me-de	N1	1
i-za-re	N1	1
si-ja-qo	N1	1
ke-we-da	N1	1
ze-ro	N3	1
ma-se-de	N1	1
pa-u-ro	N3	1
ke-qe	N4	1
qi-ja-to	N3	1
te-ra-u-re-o	N1	1
e-ne-e-si	N1	1
me-ni-jo	N1	1
o-nu-ke-ja-o	N1b	1
e-pi-ja-ta	N1	1
e-re-u-ta	N1	1
a-ma-to-wo	N1	1
sa-ri	N1	1
pi-wa-to	N1	1
e-ri-ma-si-jo	N2	1
si-ri-pi-jo	N3	1
e-wi-ta-jo	N6	1
pi-ri-to-jo	N1	1
su-ki-ri-ta-jo	N1b	1
wo-we-u	N1	1
pa-ta-ti-jo	N1b	1
qi-ko-we-e	N1b	1
ka-ta-mi-jo	N1b	1
ko-ri-jo	N3	1
a-re-po-zo-o	N4	1
de-ke-se-u	N3	1
o-ku-no	N3	1
de-ko-to	N1	1
ke-ro-u-te-u	N1	1
e-te-re-ro	N1	1
ka-wi-ta	N1	1
o-pe-se-to	N1b	1
a-ke-e	N1b	1
e-te-wa-jo	N1	1
a-no-ze-we	N1	1
te-re-te-we	N1	1
wo-qo	N1	1
do-qe-u	N1	1
e-i-ja-si	N1	1
po-ti-jo	N1	1
mo-ko-ro	N1	1
pe-ti-ni-jo	N1	1
ki-ri-se-we	N1	1
we-re-ka-ra-ta	N1	1
ra-u-ko	N3	1
ko-ti	N3	1
ra-i-ka	N4	1
ra-pi-ti-ra2	N1	1
si-ra-ko	N3	1
re-ka-se-ra-wo	N6	1
qe-te-o	N1b	1
e-pi-ki-to-ni-ja	N1	1
ku-ke-so	N3	1
da-mi-jo	N7	1
a-ke-re-mo-no	N5	1
ri-ro	N3	1
sa-ma-ri-jo	N3	1
qi-ta-ro	N3	1
ko-ro-tu-no	N1	1
ra-wo-ke-ta	N1	1
a2-ro	N1	1
wa-ni-ko	N1	1
e-u-ro-to-qo	N5	1
wi-jo-qo-ta	N3	1
wi-ja	N5	1
re-we	N1	1
wi-ro-jo	N3	1
ma-di	N1	1
o-po-ro-u-si-jo	N1	1
pe-te-u	N1	1
qa-ra-su-ti-jo	N3	1
ku-ka-ro	N3	1
me-ki-ti	N3	1
si-to-ko	N1b	1
ro-no-de	N1	1
po-to-a2-ja-de	N1	1
te-re-ja-de	N1	1
o-ke-u-ri-jo	N1	1
a-ko-ro-we-i	N1	1
e-to	N3	1
wo-jo	N3	1
pa-ta-u-na	N1	1
a-ko-ro-da-mo-jo	N1	1
tu-wi-jo	N6	1
ta-pa-e-o-te	N1	1
ka-ma-jo	N1	1
ra-pa-do	N4	1
o-pi-ra-i-ja	N1	1
ti-me-no	N4	1
da-wi-ja	N1b	1
ne-ki-ri-de	N1	1
ki-sa	N3	1
mi-ni-si-ja	N3	1
de-di-ku-ja	N1	1
a-ku-na-i	N1	1
tu-ri	N6	1
wa-du-ka-sa-ro	N3	1
e-u-da-i-ta	N1	1
ka-ma-to	N3	1
e-pi-ko-o	N1	1
pi-sa-wa-ta	N1	1
wo-si-jo-ne	N1	1
pa-te	N1	1
we-u-da-ne-we	N2	1
pa-sa-ko-me-no	N6	1
po-ru-qo-to	N1	1
ke-re-te	N1b	1
ka-si-ko-no	N1	1
du-ro	N3	1
a-wa-si-ja	N1	1
ko-ni-ja	N1b	1
a3-ki	N1	1
e-po-wi-ja	N1	1
o-me	N1b	1
re-u-ko	N1	1
wa-ra-ki-no	N1	1
ko-tu-we	N1b	1
ko-sa-ma-ne	N1	1
me-ri-wa-ta	N3	1
e-ne-ke-se-u	N3	1
di-ra-po-ro	N4	1
o-to	N7	1
to-na	N7	1
ki-ma-ra-o	N1b	1
za-te-o	N1	1
se-wo-te	N1	1
re-wa-jo	N2	1
ka-ti	N1	1
a-no-qo-ta-o	N3	1
ti-ki-jo	N2	1
a-ta-ro-we	N1	1
pu-ro-jo	N1	1
ri-na-ko-ro	N1	1
ka-nu-ta-jo	N1b	1
a-so-na	N1	1
ka-ke-u-si	N2	1
we-ro-ta	N1	1
a-ko-ro	N1b	1
e-pe-ke	N1	1
pu-do-si	N1	1
e-ra-jo	N6	1
si-ja-du-we	N3	1
te-ko-to-ne	N1	1
wi-ja-ni-jo	N1	1
ma-na-si-we-ko	N1	1
da-ma-so	N1	1
ma-wa-si-jo	N1	1
ro-no	N1	1
i-ta-ra-jo	N5	1
wi-ja-te-wo	N5	1
no-e-u	N5	1
tu-ri-ja-jo	N5	1
e-pe-ke-u	N5	1
pu-te-u	N5	1
ko-ne-wa-ta	N5	1
qe-to-ro-no	N5	1
ko-za-ro	N1	1
a-ke-wa-ta	N1	1
ko-ta-wo	N1	1
da-u-ta-ro	N1	1
du-ko-so	N5	1
e-u-wa-ko-ro	N5	1
wa-ti-ro	N5	1
i-je-re	N1	1
to-sa-no-jo	N1	1
a-mu-ta-wo-no	N1	1
u-ro2	N3	1
wi-su-ro	N3	1
re-ja	N1	1
ri-wi-jo	N1	1
do-qo-so	N1	1
a-re-su-ti-jo	N1	1
ro-wo	N1	1
ma-ra-ta	N1	1
a-no-ta	N1	1
si-ra-ta	N1	1
ra-wo-qo-ta	N1	1
pa-ku-ro2	N1	1
ka-ke-u	N1	1
ko-ma-we	N1	1
e-u-we-to	N1	1
e-ke-i-ja-ta	N1	1
wo-wa-ro	N1	1
du-wo-jo	N5	1
di-ra-wo-no	N5	1
po-ra-i	N1	1
so-mo	N3	1
ti-ri-jo-qa	N6	1
ko-no-si-ja	N3	1
ki-jo	N1b	1
pi-ra-qo	N6	1
ka-no	N6	1
ra-ne-to	N3	1
ko-no-so-de	N1	1
po-da-qe-re-si-je-wo	N6	1
ku-ro2-jo	N1b	1
te-re-ne-wi-ja	N1	1
e-ki-no	N3	1
ra-wa-si-jo	N7	1
wi-jo-qo-ta-o	N3	1
me-wi-jo	N1b	1
o-ki-ri-so	N1	1
ka-sa	N1	1
sa-qa	N3	1
ka-di-ja	N6	1
e-ru-ti-ri-jo	N6	1
wo-ra-ke-re	N6	1
a-ra-ka-te-ja-o	N1b	1
wo-de-wi-jo	N6	1
si-pe-we	N1	1
e-ra-ne	N1	1
u-wo-qe-we	N1	1
we-re-we	N1	1
we-wa-do-ro	N3	1
sa-nu-we-ta	N3	1
e-ka	N3	1
ki-ri-ne-to	N3	1
ta-qa-ra-ti	N5	1
no-ri-wo-ko-jo	N1b	1
ri-so-wa	N1b	1
da-i-ja-ke-re-u	N1	1
ku-sa-me-ni-jo	N1b	1
a-da-ra-ti-jo	N1	1
ko-no-si	N3	1
a3-wa-ta	N6	1
si-ra-so	N1	1
ka-mo	N1	1
wi-na-to	N1	1
te-so	N1b	1
te-na-ja-so	N1	1
qa-qa-ro	N1b	1
qa-sa-ko	N3	1
po-ka-ro	N3	1
jo-jo	N1	1
qa-sa	N3	1
po-i-te-u	N3	1
ki-ma-ra	N1	1
i-ne-u	N3	1
su-ko	N5	1
o-ro-qa	N5	1
da-i-ra	N5	1
e-ri	N5	1
o-du	N5	1
te-ja-ro	N5	1
o-na-ja	N3	1
te-ru-wo-te	N1	1
a-ke-wo	N1b	1
we-ke-i-ja	N1	1
di-za	N3	1
me-te-to-de	N1	1
sa-ma-ra-de	N1	1
re-u-ko-to-ro	N1	1
to-ma-ko	N1b	1
wo-no-qo-so-qe	N1	1
mi-ti	N3	1
ta-we-si-jo-jo	N1b	1
a-pi-qo-o	N1b	1
o-to-wo-o	N1b	1
a3-ku-pi-ti-jo	N3	1
a-qi-ru	N1	1
qa-ra2-wo	N1	1
wi-to	N5	1
qe-ri	N3	1
me-zo-e	N5	1
me-wi-jo-e	N5	1
wi-ra-ne	N3	1
a-ki-ri-ja	N1	1
ko-to-no-o-ko	N7	1
ku-mi-so	N3	1
ka-ro-qo	N1	1
pi-ra-ki	N1	1
qa-ra-si-jo	N1	1
ra-ko	N4	1
qe-ta-wo	N1	1
ta-mi-je-u	N1	1
e-u-ru-wo-ta	N1	1
e-u-do-no	N1	1
po-ro-u-te-u	N1	1
wi-du-wa-ko	N1	1
ke-we-to	N5	1
pe-ta-ro	N5	1
ke-we-to-jo	N5	1
i-wa-ka-o	N5	1
pa-qo-si-jo-jo	N5	1
po-ro-u-te-wo	N5	1
tu-ke-ne-u	N1	1
pu2-si-ja-ko	N5	1
we-we-si-je-ja-o	N1b	1
e-u-ko	N6	1
da-mo-ko-ro	N1	1
a-no-qa-si-ja	N7	1
si-pa-ta-do	N3	1
ku-i-so	N3	1
ku-ja-ro	N3	1
re-u-si-wo-qe	N1	1
i-qe-ja	N1	1
ta-ni-ko-qe	N1	1
me-ta-ka-wa	N1b	1
mi-jo-qa	N1b	1
e-we-za-no	N1	1
to-ze-u	N1	1
re-si-wo	N1	1
a-pi-e-ra	N1b	1
ti-ri-ti-jo	N7	1
qa-mi-jo	N7	1
pu-si-jo	N7	1
ko-to-na-no-no	N7	1
i-mi-ri-jo	N3	1
a-no-no	N7	1
a-re-ta2	N3	1
ko-we-qe	N1	1
zo-wa	N2	1
wi-ri-ne-u	N1	1
wi-jo-qo	N3	1
ma-e-u	N4	1
tu-ro	N1b	1
da-wi	N3	1
ka-ta-wo	N3	1
sa-sa-wo	N4	1
no-ri-wo-ko	N1	1
ku-su-pa-ta	N3	1
na-ni	N6	1
o-to-ro	N3	1
ka-sa-ro	N3	1
tu-zo	N1	1
ka-ne-u-ta	N3	1
e-pi-ko-wo	N6	1
ka-te-u	N3	1
se-do	N3	1
ka-da-i-so	N3	1
e-u-mo	N3	1
ka-ra-do-wa-ta	N4	1
se-to-i	N3	1
a-ze-ta	N3	1
ki-sa-nu-mo	N3	1
no-ta-na	N3	1
ra-wo-do-ko	N4	1
ri-to-wo	N6	1
ri-sa-ta	N3	1
ta-ra-ma-o	N1b	1
qe-to-ro-po-pi	N1	1
e-ru-si-jo	N2	1
a3-ki-e-we	N2	1
wa-do-me-no	N2	1
a-ta-no-re	N2	1
wi-sa-to	N2	1
e-u-qo-ne	N2	1
wi-ri-wo	N1	1
te-pe-u	N1	1
pu-ti-ja	N1	1
a-wa-ta	N1	1
ka-u-ti-ta	N1	1
o-te-se-u	N3	1
ja-se	N3	1
me-re-ti-ra2	N1	1
e-te-wa-no	N2	1
ra-pa	N3	1
wa-na-ta	N2	1
ra-qi-ti-ra2-o	N1b	1
wi-du-ro	N1	1
jo-si	N1	1
qo-ja-si	N1	1
pu2-ra-ne-jo	N1	1
a-ka-de	N1	1
o-pe-ta	N1	1
a-ta-ma-ta	N1	1
e-ke-se	N1	1
a-tu-qo-ta	N1	1
sa-za-ro	N1	1
ku-pe-re-te	N1	1
me-ne-u	N1	1
ra-no	N1	1
a-me-ja-si	N1	1
te-pe	N5	1
e-ka-no	N5	1
pe-re-qo-no	N5	1
ko-no	N5	1
ma-ka-ta	N5	1
wi-jo-ro-jo	N5	1
wa-tu-ta	N5	1
o-wo-ta	N5	1
o-ru-we-ro	N5	1
po-so-ra-ko	N5	1
wa-ti-ko-ro	N5	1
a-pi-jo	N5	1
ne-qe-u	N1	1
e-ru-ta-jo	N1	1
e-u-ko-me-no	N5	1
di-nu-wa-ta	N5	1
wa-du-ri-jo	N5	1
o-wi-da	N5	1
ra-wi-zo	N3	1
za-ki-ri-jo	N6	1
pa-ko-qe	N1	1
di-ki	N3	1
ki-ni-di-ja-o	N1b	1
ko-ku	N3	1
se-me-tu-ro	N3	1
sa-ma-ja-so	N3	1
a3-nu-me-no	N1	1
a2-e-ta	N1	1
ku-te-re-u	N1	1
a-ra-i-jo	N1	1
wa-ne-u	N1	1
we-si-jo-jo	N1b	1
ke-ro-si	N1	1
a-pi-qo-ta-o	N1b	1
ro-si-ja	N1	1
da-ra-mu-ro	N3	1
ki-ja-pi	N4	1
o-wo-ze	N7	1
da-ma	N3	1
su-ti-jo	N3	1
ne-do-wo-ta-de	N1	1
o-ne-u	N3	1
ta-we-si-jo	N3	1
pe-ri-to	N6	1
i-sa-na-o-ti	N2	1
we-we-ro	N6	1
e-pi-ke-to	N7	1
po-ra-pi	N1	1
to-wi-no	N3	1
qi-si-ta	N3	1
a-qi-ro	N3	1
su-ta-no	N3	1
pa-ra-ti-jo	N1	1
ke-mo	N3	1
na-ru	N3	1
u-wo-qe-ne	N6	1
u-du-ru-wo	N5	1
ku-pa-sa	N5	1
ka-ta-ra-pi	N5	1
a-pe-a-sa	N6	1
i-ta-mo	N1b	1
we-ra-te-ja	N1	1
ka-to	N3	1
e-re-pa-i-ro	N6	1
ra-u-ra-ta	N3	1
pu-nu-so	N3	1
me-ta-ri-ko-wo	N6	1
e-ra-to	N3	1
ra-wa-ke-ja	N1b	1
a-nu-wi-ko	N1	1
a-ra-da-jo	N1	1
pi-ja-si-ro	N1	1
si-pu2	N1	1
pu-te	N1	1
ja-sa-no	N1	1
qa-me-si-jo	N1	1
mi-ja-ra-ro	N1	1
pi-ri-no	N1	1
qa-to-no-ro	N1	1
pe-te-ki-ja	N1	1
ko-ni-da-jo	N1	1
i-te-u	N1	1
pu-to-ro	N1	1
ka-ke	N1	1
pu-wo	N1	1
a-ta-ze-u	N1	1
a-ra-na-ro	N1	1
si-ja-pu2-ro	N1	1
si-re-wi-ja	N1	1
su-ki-ri-to	N1	1
ke-se-ra-wo	N1	1
ne-o-ta	N1	1
a3-wa-to	N1	1
sa-pi-ti-nu-wo	N1	1
a-qa-to	N1	1
du-ru-po	N1	1
qa-nu-wa-so	N1	1
wi-ro	N1	1
su-mi	N1	1
i-wa-ko	N1	1
a-pi-wa-to	N1	1
pi-ja-se-me	N1	1
su-ke-re-o	N1b	1
qa-si-re-wi-ja	N1	1
ku-to	N1	1
sa-u-ri-jo	N1	1
wi-ja-ma-ro	N1	1
a-pi-ra-wo	N1	1
wa-ru-wo-qo	N1	1
tu-ka-na	N6	1
te-qa-ja	N1	1
ja-mu-ta	N1	1
a-to-me-ja	N1	1
da-te-ne-ja	N1	1
pa-ja-ni	N1	1
wo-di-je-ja	N1	1
wi-so	N1	1
e-ti-wa-ja	N1	1
sa-ti-qi-to	N1	1
sa-mi	N1	1
si-ne-e-ja	N1	1
u-pa-ra	N1	1
ru-ta2-no	N1	1
du-tu-wa	N1	1
ke-pu	N1	1
wa-ra-ti	N1	1
a-nu-wa-to	N1	1
ki-so	N3	1
o-pi	N1b	1
pe-me	N1	1
i-ti-nu-ri	N3	1
ra-su-to-qe	N1b	1
te-qa-jo-i	N2	1
qe-re-ro	N2	1
o-to-ke-se-we	N2	1
ri-wa-so	N2	1
e-po-ro-jo	N2	1
su-ko-pu2-te-e	N2	1
je-u-pi	N2	1
o-ti-ri-ja	N1	1
a-ti-ri-ja	N1b	1
no-wo-ko	N1	1
sa-sa-jo	N3	1
a-na-ki-ti	N3	1
te-qa-jo	N2	1
pa-na-so	N7	1
ta-ra-qo	N7	1
ta-u-pa-du-we	N7	1
pe-ka-wo	N6	1
ru-wa	N6	1
u-de-wi-ne	N1	1
i-pi	N5	1
ta-ra-ma-ta-o	N1	1
ku-su-to-ro-qa	N1	1
qe-ra-jo	N5	1
nu-to	N5	1
di-wo-a-ne	N6	1
ko-tu-ro2-ne	N2	1
ra-o-no	N3	1
ko-ro-da-mo	N3	1
we-wa-ta	N6	1
i-qo-jo	N7	1
we-we	N3	1
qo-si-jo	N3	1
a-ke-ta	N1	1
a-na-qo-ta	N1	1
ko-ma-we-ta	N1	1
pe-qo-no	N1	1
ra-wo-qo-no	N1	1
ko-a-ta	N1	1
ku-ni-ta	N1	1
o-pi-te-u-ke-we	N1	1
i-ke-se	N6	1
ta-pe-ro	N3	1
pe-ri-mo	N3	1
a-ke-ti-jo	N1	1
do-ro-me-u	N1	1
te-wa-ko-no	N1	1
mi-ko-no	N1	1
ta-nu-ko	N1	1
to-ke-u	N1	1
da-na-ko	N1	1
re-a-mo	N1	1
su-ma-no	N3	1
ma-ra-pi-jo	N3	1
we-ke-i-jo	N1	1
ke-da-si	N1	1
e-pa-ta	N1	1
ta-jo	N5	1
e-ri-ko-wo	N5	1
e-pi-ta-jo	N5	1
i-pe-se-wa	N2	1
a3-te-re	N1	1
ja-ra-to	N3	1
ta-ta-ta	N1	1
a-re-ko-to-re	N1	1
o-ne	N1	1
ne-o-to	N1	1
qa-ti-ja	N1	1
pa-ja-ro	N1	1
ki-ke-ro	N1	1
o-ti-ra2-o	N1b	1
sa-pa-ka-te-ri-ja	N1	1
da-we-u-pi	N4	1
ma-so-qe	N7	1
i-te-ja-o	N1b	1
qi-ja-zo	N3	1
a3-ke-wa-ta	N3	1
da-na-ro	N3	1
di-pa	N1	1
qe-ro2	N1	1
ne-jo	N6	1
ri-di-ne-to	N3	1
e-re-pa-ro	N1	1
e-ke-ro	N5	1
si-mu-ta	N5	1
ma-ri-ta	N5	1
ka-u-so	N5	1
me-ra-to	N5	1
pa-ra-ke-te-e-u	N1	1
a-ri-qa	N5	1
si-pa-ta-no	N5	1
pu-wa-ne	N5	1
ki-sa-qo	N3	1
ma-ka-wo	N5	1
pi-ro-ne-ta	N5	1
wa-ka-ta	N5	1
po-ru-e-ro	N5	1
e-wi-ri-pi-ja	N1	1
tu-ni	N3	1
ko-so-u-to-qe	N1	1
ku-mo-no-so	N3	1
sa-ma-ru	N6	1
ne-o	N5	1
ja-po	N5	1
wa-wa-ko	N1	1
e-re-e	N1	1
o-pe-ro-te	N1b	1
a-ri-ja-to	N1	1
ru-ki-ja	N1b	1
a-ko-wo	N1	1
e-qo-te	N1	1
ru-da-to	N3	1
za-ra-ro	N3	1
ka-ra-wi-so	N1	1
a-mo-ta-jo	N1	1
e-ki-wo	N1	1
ka-ka-po	N1	1
de-we-ro	N1	1
ka-sa-to	N1	1
wi-tu-ta	N1	1
do-ro-jo	N5	1
de-we-ra	N3	1
pe-ro-qe	N1	1
a-mi-nu-wa-ta	N1	1
o-ko	N1	1
ko-ta-o	N3	1
mi-ni-jo	N3	1
a-ke-si-ja	N6	1
ko-so-jo	N1	1
qa-na	N3	1
a-ke-e-to	N3	1
pu-da-so	N3	1
to-ro-wa-ko	N1	1
na-no-to	N3	1
qa-ra2-ti-jo	N3	1
pu-ko	N3	1
ki-ri	N3	1
wo-ne-we	N1	1
i-ma-di-ja	N4	1
qa-i-po	N3	1
po-ru-ka-to	N6	1
no-di-mi-zo-jo	N7	1
a-du-ru-po-to	N3	1
wi-jo	N5	1
a-te-mo	N5	1
ki-ma-ta	N5	1
da-ko-so	N5	1
si-za	N5	1
pi-ma-na-ro	N5	1
si-ja-ma	N5	1
a-ma-no	N5	1
ra-ro	N3	1
pe-ki-ti-ra2-o	N1b	1
qi-zo	N3	1
e-ta-je-u	N1b	1
te-ko-to-a-pe	N1	1
wi-do-wo-i-jo	N1b	1
to-ro-wi-ka	N1b	1
po-ru-to	N1b	1
o-tu	N1b	1
sa-ni-jo	N1b	1
qe-re-me-ti-wo	N1	1
mu-ta-pi	N1	1
e-nu-wa-ri-jo	N5	1
pa-ja-wo-ne	N5	1
a-qi-ja-i	N1	1
a-mo-si	N1	1
ki-u-ro-i	N1	1
po-qe-wi-ja-i	N1	1
do-ka-ma-i	N1	1
te-ta	N6	1
ka-jo	N3	1
ta-ra2	N1	1
a-ri-ko	N3	1
ko-ko	N6	1
pe-re-ko	N1	1
da-te-we-ja	N3	1
mo-re	N3	1
o-qa	N1	1
pu2-ti-ja	N1	1
po-to-re-ma-ta	N1	1
wa-pa-no	N1	1
mo-da	N1	1
pe-po-ro	N1	1
ko-to-wa-pe	N1	1
e-pi-da-to	N1	1
to-so-pa	N1b	1
ti-na-jo	N5	1
po-so-ri-jo	N5	1
i-pe-ra-ta	N5	1
we-ro-pa-ta	N1	1
ki-u-ro	N1	1
do-ri-jo	N1	1
a-ki-wa-ta	N1	1
ki-ri-ja-si	N1	1
po-ti-ni-ja-we-ja	N3	1
qe-u	N3	1
wa-no-qe	N1	1
se-u	N3	1
e-wi-te-u	N1	1
su-se	N3	1
da-u-ta	N3	1
ru-wo-i-ko	N3	1
qe-da-do-ro	N3	1
pa-ki-ja-pi	N1b	1
wa-ra-ta2	N1b	1
e-ra-te-re-wa-pi	N1b	1
za-ma-e-wi-ja	N1b	1
e-re-i	N1b	1
ra-wa-ke-si-jo-jo	N7	1
a-ko-ro-qo-ro	N3	1
i-ta	N6	1
ku-ru-so-jo	N1	1
mi-ra-ti-ra	N1	1
ti-mi-za	N3	1
ka-mo-ni-jo	N3	1
re-qo-me-no	N6	1
si-re-u	N5	1
da-wa-no	N5	1
qi-qe-ro	N5	1
wi-du	N5	1
ku-ra-no	N5	1
ku-ta-i-jo	N5	1
ku-pa-nu-we-to	N5	1
ke-ka-to	N5	1
po-to-ri-jo	N5	1
pe-we-ri-jo	N5	1
a3-ni-jo	N5	1
sa-me-we	N2	1
a-wo-ro	N1	1
na-si-jo	N1	1
me-de-i-jo	N1	1
pa-no	N1	1
me-ki-to-ki-ri-ta	N1	1
ne-we-wi-ja-o	N1b	1
ka-do-wo	N1b	1
to-si-ta	N1b	1
me-ta-no	N1b	1
ka-ra-so	N1b	1
a-so-ta-o	N1	1
a-qi-ta	N6	1
ki-ma-to	N5	1
to-ri-jo	N1	1
mi-ka-ri-jo	N1	1
pu-ra-ta	N1	1
wi-ti-mi-jo	N5	1
a3-ki-e-wo	N5	1
mi-ka-ri-jo-jo	N5	1
pu-ra-ta-o	N5	1
e-ko-to-ri-jo	N2	1
do-ro-jo-jo	N2	1
e-ne-ti-jo	N1b	1
ka-ra-wa-ni-ta	N1b	1
po-ma-ko	N1	1
po-te-u	N1	1
