word	slots	n_tablets
ka-ra-na-ta	N5,N6	1
pi-ke-re-u	N4	2
e-u-ka-ro	N1	2
wa-ra-pi-si-ro	N1,N1b	2
te-ra-wo	N1,N1b	2
mo-i-da	N1	2
a2-ta	N1	2
ti-ri-da-ro	N4	2
ra-ni	N1,N6	1
te-we	N5,N6	1
pa-ra-ne	N5,N6	1
no-to	N3	2
wi-ra-ne-to	N1,N3	2
ra-to-jo	N1,N3	1
a-pe-o-te	N1	2
e-na-po-ro	N1b	2
pa-wo-ke	N1	2
ma-ra-ni-jo	N1b	2
e-u-da-mo	N1,N6	2
du-ma	N1	2
a-e-ri-qo-ta	N1	2
ka-ra-u-ro	N1	2
ka-wi-jo	N1,N2	2
no-du	N5,N6	1
da-na-jo	N3,N5	2
ne-we-wi-ja	N1	2
ki-nu-wa	N1,N6	1
a-ne-te-wa	N5,N6	1
wi-da-ma-ro	N3,N5	2
a-te	N3	2
a-ke-ro	N1,N4	2
ke-to	N1,N6	2
e-ne-ka	N1b	2
ki-to	N1,N3	2
a-pu2-we	N1b	2
ku-so	N4	2
ka-pa-ri-jo	N5,N6	2
i-na-o	N1	2
pa-i	N3	2
a3-ke-wa-to	N3	2
pa-da-je-we	N2,N7	1
re-u	N4,N5	2
pa-wi-no	N1,N1b	2
ke-re	N1	2
sa-ke-re-u	N1,N4	2
su-qo-ta-o	N7	2
e-u-me-de	N4	2
si-jo-jo	N1,N3	1
pa-da-je-u	N4	2
ko-so	N3	2
po-to	N1,N3	2
da-nu-wo	N1	2
ra-ri-di-jo	N1,N1b	1
ku-te-ra3	N1	2
wi-ja-te-we	N1,N1b	2
di-de-ro	N3	2
po-ro-ko-re-te	N1,N5	2
a-re-jo	N5,N6	1
da-ra-ko	N1	2
ti-ja	N3	2
to-ko	N5,N6	1
ku-ro2	N1,N2	2
ku-mo-no	N1b,N3	1
o-pi-ro-qo	N1	2
de-a-ta	N3	2
ku-ru-no	N1,N6	1
ko-me-no	N1	2
wo-ro-ka-ne	N1b,N6	1
ja-mi-nu	N1,N6	1
a-wa-so	N3	2
a-to-mo	N1,N5	2
ka-ra-su-no	N1,N2	1
u-ta-ni-jo	N1,N7	2
ri-wi-so	N3	2
ke-ra-u-jo	N4	2
a-i-qe-u	N4	2
qa-ru-ko	N1	2
ka-wa-ti-ro	N1,N2	2
pa-ja-so	N3	2
pe-re-wa-ta	N1,N6	2
za-mi-jo	N1,N1b	2
ku-ta-si-jo	N3	2
ko-tu-ro2	N1	2
a-ta-tu-ro	N1,N5	2
ko-u-re-ja	N1,N6	1
a-ke-ti-ra2-o	N1b	2
a-ti-pa-mo	N1	2
ko-ro-ku-ra-i-jo	N1	2
a-pu-do-si	N1	2
ko-re-te	N1	2
u-su	N5,N6	1
a3-ko-ta	N1,N1b	2
ka-ta2-ro	N1b,N6	1
e-u-de-we-ro	N1	2
ku-te-ra-o	N1b	2
da-o-ta	N5,N6	1
do-ti	N1b,N3	1
di-zo	N5	2
qa-re-jo	N1,N3	1
a-ko-ra-jo	N1	2
i-ja	N3,N6	2
a-pi-o-to	N1b	2
a-nu-ko	N1,N3	2
we-ka-ta	N1	2
a-pi-re-we	N5,N6	1
mo-ni-ko	N3,N5	2
a3-ti-jo-qe	N2,N7	1
me-ja	N5,N6	1
wo-ro-to-qo	N5,N6	1
ti-qa-jo	N1,N5	2
ru-na-mo	N3	2
a-ro-wo-ta	N5,N6	1
po-ni-ki-jo	N1,N1b	2
sa-zo	N3,N5	2
ne-wa	N1b	2
te-re-ja-wo	N5,N6	1
ke-u-po-da-o	N1,N3	2
ta-u-na-so	N3	2
a-pi-re-jo	N5,N6	1
u-wa-ta	N1,N3	2
ka-pa-ra2-de	N1	2
we-ma-na	N1,N3	1
o-wo-to	N1,N2	2
a-no-ra-ta	N1,N5	2
ma-we-to	N1,N3	1
wa-ta-jo	N2,N7	1
de-ki-si-wo	N1	2
pu-wa	N1	2
pa-qo-ta	N5	2
o-tu-wo-we	N5	2
po-ro-ko	N3,N5	2
po-ro-u-jo	N5	2
pe-re-ta	N5	2
o-pe-ra-no	N5	2
wo-wi-ja-ta	N5	2
ko-ma-do-ro	N1,N5	2
pa-pa-ro	N1b,N6	2
wo-ro-qe	N1,N1b	2
e-me-si-jo	N1,N3	1
do-ti-jo	N1,N3	1
tu-ru-we-u	N1	2
qa-si-da-ro	N3	2
a-di-je-wo	N3	2
sa-ma	N3,N6	2
ta-na-po-so	N3	2
ti-tu	N1,N2	1
e-te-wa	N1,N2	1
a-no	N1b,N2	1
ko-ru-ta-ta	N1b,N2	1
ra-ke-u	N1b,N2	1
pi-ro-qo-ro	N2,N5	1
do-wa	N5,N6	1
ke-pu2-je-u	N5,N6	1
du-ru	N5,N6	1
da-na	N1	2
mi-ru-ro	N1,N5	2
du-to	N1,N3	2
pa-na-re-jo	N1,N5	2
re-jo	N1,N3	1
e-pi-da-o	N5,N6	1
a-pi-qo-ro	N1,N1b	2
pi-ke-re-we	N2,N7	1
po-ti-ni-ja-we	N1,N3	1
ta-ra-sa-ta	N5,N6	1
da-to-ro	N3	2
ko-wi-ro-wo-ko	N1,N6	1
i-we-ro	N1,N6	1
ra-u-ta	N5	2
pi-ro-ka-te	N1,N5	2
we-e	N1,N3	1
e-te-we	N1,N2	1
e-do-mo-ne-we	N1,N2	1
ne-ti-ja-no-re	N1b,N2	1
po-so-pe-re-i	N1b,N2	1
zo-wi-jo	N1b,N2	1
ma-te-we	N1b,N2	1
ka-da-ro	N1b,N2	1
tu-ri-ta	N1b,N2	1
e-wi-te-we	N1b,N2	1
e-u-na-wo	N3,N5	2
a-ta-na-po-ti-ni-ja	N5,N6	1
su-qo-ta	N2,N7	1
re-wo-to-ro-ko-wo	N1,N1b	2
po-ka	N1,N3	2
po-ru-te-we	N5,N6	1
ko-so-ne	N1b,N2	1
de-mo-qe	N1b,N2	1
pe-qe-we	N1b,N2	1
o-qe-qa	N1b,N2	1
