word	slots	n_docs
po-ro-te-u	N4	1
po-ro-tu-qo-no	N6	1
po-ro-u-jo	N5	2
po-ro-u-te-u	N1,N3	2
po-ro-u-te-we	N2	1
po-ro-u-te-wo	N5	1
po-ru-da-ma-te	N1	1
po-ru-e-ro	N5	1
po-ru-ka-to	N6	1
po-ru-qo-to	N1,N3	2
po-ru-te-we	N5,N6	1
po-ru-to	N1b	1
po-so-pe-re-i	N2	1
po-so-ra-ko	N5	1
po-so-ro	N1,N5	3
po-ti-ja-ke-e	N1,N1b	2
po-ti-jo	N1	1
po-ti-na-jo	N5	1
po-ti-ni-ja	N1b	1
po-ti-ni-ja-we	N3	1
po-ti-ni-ja-we-i-jo	N3	1
po-ti-ni-ja-we-ja	N3	1
po-ti-ni-ja-we-jo	N3	4
po-to	N1,N6	1
po-to-a2-ja-de	N1	1
po-to-re-ma-ta	N1	1
po-to-ri-jo	N5,N6	1
po-to-ro-wa-pi	N1	1
pu-da-so	N3	1
pu-ka-wo	N1	1
pu-ke-se-ro	N1	1
pu-ko	N3	1
pu-ko-ro	N1	1
pu-na-si-jo	N1	1
pu-na-so	N3	2
pu-nu-so	N3	1
pu-ra-ta	N1	1
pu-ra-ta-o	N5	1
pu-ri	N1	1
pu-ro	N1,N1b,N4	17
pu-ro-jo	N1	1
pu-so	N3	4
pu-te	N1	1
pu-te-u	N5	1
pu-ti-ja	N1	1
pu-to-ro	N1,N3	2
pu-wa	N1	1
pu-wa-ne	N5	1
pu-wo	N1	1
pu2-ra-ne-jo	N1	1
pu2-ti-ja	N1	1
qa	N3	1
qa-da-so	N3	1
qa-i-po	N3	1
qa-me-si-jo	N1,N6	1
qa-mo	N3	2
qa-na-no-to	N3	3
qa-nu-wa-so	N1	1
qa-ra	N3	6
qa-ra-jo	N5	1
qa-ra-si-jo	N1	1
qa-ra2	N1	1
qa-ra2-ro	N3	1
qa-ra2-te	N1	1
qa-ra2-ti-jo	N3	1
qa-ru-ko	N1	1
qa-sa-ko	N3	1
qa-si-da-ro	N3	2
qa-si-re-u	N5	1
qa-si-re-wi-ja	N1	1
qa-ti-ja	N1,N6	1
qa-to-no-ro	N1,N6	1
qe-da-do-ro	N3	1
qe-ja-me-no	N4	2
qe-re	N1	1
qe-re-me-ne-u	N5	1
qe-re-me-ti-wo	N1	1
qe-ri	N3	1
qe-ri-jo	N1	1
qe-ro	N1b,N3,N6	2
qe-ta-ko	N1	1
qe-ta-ra-je-u	N1	1
qe-ta-wo	N1	1
qe-te-se-u	N1,N6	1
qe-to-ro-no	N5	1
qe-to-ro-po-pi	N1	1
qe-u	N3	1
qi	N6	1
qi-ja-to	N3	1
qi-ja-zo	N3	1
qi-ni-te-we	N1	1
qi-nwa-so	N3	1
qi-qe-ro	N5,N6	1
qi-si-ja-ko	N1	1
qi-si-ta	N3	1
qi-ta-ro	N3	1
qi-zo	N3	1
qo-ja-si	N1	1
qo-si-jo	N3	1
qo-ta	N1,N3	2
qo-te-jo	N3	1
qo-te-ro	N1,N3	3
qo-u-ko-ro	N1,N1b	2
qs	N1	1
ra	N1,N3	5
ra-i-ka	N4	1
ra-ja	N3	6
ra-jo	N5,N6	1
ra-ke-u	N2	1
ra-ko	N3	1
ra-ku-ro	N2,N4,N7	3
ra-ma-jo	N5	2
ra-mi-ni-ja	N1	1
ra-mi-ni-jo	N1	1
ra-ne-to	N3	1
ra-ni	N1	1
ra-ni-jo-ne	N1b	1
ra-o-no	N3	1
ra-pa-do	N4	1
ra-pa-sa-ko	N2	1
ra-pi-ti-ra2	N1	1
ra-pte	N4	3
ra-pte-re	N1	3
ra-qi-ti-ra2	N1	1
ra-qi-ti-ra2-o	N1b	1
ra-ri-jo	N3	1
ra-ro	N3	1
ra-so	N3	1
ra-su-to	N1,N3,N6	12
ra-to	N3	7
ra-to-jo	N3	1
ra-to-po-ro	N1	1
ra-u-ra-ta	N3	1
ra-u-ta	N5	1
ra-wa-ke-ja	N1b	1
ra-wa-ke-si-jo	N2,N4,N7	3
ra-wa-ke-si-jo-jo	N7	1
ra-wa-ra-ta	N1b	1
ra-wi-ja-ja	N1	2
ra-wi-zo	N3	1
ra-wo	N3,N5,N6	2
ra-wo-do-ko	N4	1
ra-wo-ke-ta	N1	1
ra-wo-po-qo	N6	1
ra-wo-qo-no	N1	1
ra-wo-qo-no-jo	N3	2
ra-wo-qo-ta	N1	1
ra-wo-ti-jo	N1,N5,N6	2
re-a-mo	N1	1
re-ja	N1	1
re-ka-se-ra-wo	N6	1
re-ka-ta-ne	N1b	1
re-me-to	N3	1
re-pi-ri-jo	N4	1
re-po-so	N6	1
re-qo-we	N1	1
re-ro	N1	1
re-si-wo	N1	1
re-ta	N1	1
re-u	N5	1
re-u-ka-so	N2	1
re-u-ka-ta	N1,N5	3
re-u-ko-ro-o-pu2-ru	N1	1
re-u-ko-to-ro	N1	1
re-u-si-wo	N5	2
re-u-si-wo-qe	N1	1
re-wa-jo	N2	1
re-wo-to-ro-ko-wo	N1,N1b	2
reliqua	N6	1
ri-di-ne-to	N3	1
ri-ja-ko	N1,N5	2
ri-ja-ta	N3	1
ri-jo	N1,N3	4
ri-jo-no	N3,N6	6
ri-ma-zo	N3	1
ri-na-ko-ro	N1	1
ri-ne-ja	N1	2
ri-ne-ja-o	N1,N1b	4
ri-ro	N3	1
ri-sa-ta	N3	1
ri-so-wa	N1b	1
ri-to-wo	N6	1
ri-wi-jo	N1	1
ri-wi-so	N3	1
ri-zo	N1,N5,N6	4
ro	N1,N6	2
ro-ko	N2	1
ro-no-de	N1	1
ro-o-wa	N1	1
ro-u-so	N1b	3
ro-wo	N1	1
ru	N3	2
ru-da-to	N3	1
ru-ki-jo	N5	1
ru-ki-ti-jo	N1	1
ru-ki-to	N3	5
ru-ko-ro	N4	2
ru-ko-wo-ro	N4	1
ru-ma-no	N3	1
ru-na	N1,N2	2
ru-na-mo	N3	2
ru-na-so	N3	2
ru-ra-ta-e	N1	1
ru-ta2	N3	1
ru-ta2-no	N1	1
ru-wa	N6	1
ru-we-ta	N2	1
ru-wo	N3	1
ru-wo-i-ko	N3	1
sa	N3,N5	3
sa-ke-re-u	N1,N4	2
sa-ke-re-we	N2,N7	2
sa-ma	N3	1
sa-ma-ra-de	N1	1
sa-ma-ri-jo	N3	1
sa-ma-ri-wa-ta	N1,N3,N6	2
sa-mi	N1	1
sa-mu-ta-jo	N1	1
sa-ni-jo	N1b	1
sa-no	N3	1
sa-nu-we-ta	N3	1
sa-nwa-ta	N1	1
sa-pi-ti-nu-wo	N1	1
sa-qa-re-jo	N3	8
sa-ri	N1	1
sa-ri-nu-wo-te	N1b	1
sa-ri-qo-ro	N1,N1b	2
sa-sa-jo	N3	1
sa-sa-wo	N4	1
sa-u-ko	N6	1
sa-u-ri-jo	N1,N6	1
sa-za-ro	N1	1
sa-ze-ro	N3	1
sa-zo	N3,N5,N6	2
se	N1,N3	3
se-do	N3	1
se-me-tu-ro	N3	1
se-no	N2,N4	2
se-to-i-ja	N1,N3,N6	5
se-u	N3	1
se-wo-te	N1	1
si	N5,N6	1
si-da-jo	N3	1
si-ja-du-we	N3	3
si-ja-ma	N5,N6	1
si-ja-pu2-ro	N1	1
si-ki-to	N3	1
si-mi-te-u	N1	2
si-mu-ta	N5	1
si-ne-e-ja	N1,N6	1
si-ni-to	N3	1
si-pa-ta-do	N3	1
si-pa-ta-no	N5	1
si-pe-we	N1	1
si-pu2	N1	1
si-ra-ko	N3	1
si-ra-ta	N1	1
si-re-we	N1	1
si-ri-pi-jo	N3	1
si-ta-ro	N3	2
si-to-ko	N1b	1
si-za	N5	1
so	N3	2
su-ke-re	N6	1
su-ke-re-o	N1b	1
su-ki-ri-ta	N3	2
su-ki-ri-to	N1	1
su-ma-no	N3	1
su-mi	N1	1
su-po	N3	1
su-qo-ta	N2,N7	1
su-qo-ta-o	N7	2
su-ra-se	N1	1
su-ri-mo	N3	4
su-ru-so	N3	1
su-se	N3	1
su-ta-no	N3	1
su-ti-jo	N3	1
ta	N1,N3,N5	6
ta-de-so	N3	2
ta-ja-no	N3	1
ta-jo	N5	1
ta-me-je-u	N1	1
ta-mi-de-so	N3	1
ta-mi-je-u	N1	1
ta-na-po-so	N3	2
ta-na-to	N3	1
ta-na-wo	N5	1
ta-ni-ko-qe	N1	1
ta-nu-ko	N1	1
ta-o	N3	2
ta-pe-ro	N3	1
ta-ra-ma-o	N1b	1
ta-ra-ma-ta	N4	3
ta-ra-sa-ta	N5,N6	1
ta-ra-to	N1	1
ta-ra-to-no	N3	1
ta-ra2	N1	1
ta-re-u	N1	1
ta-re-wo	N3	1
ta-so	N3,N6	2
ta-ta-ro	N1,N2,N4,N6,N7	4
ta-ta-ta	N1	1
ta-to-qe	N1	1
ta-u-na-so	N3	2
ta-we-si-jo	N3	2
ta-we-si-jo-jo	N1b	1
ta-za	N3	1
ta-za-ro	N3	1
te	N1,N6	3
te-jo	N3	1
te-ki-ri-ne-to	N3	1
te-ko-to-a-pe	N1	1
te-ko-to-na-pe	N1,N5	1
te-ko-to-ne	N1	1
te-mi	N3	1
te-mi-ro	N3	1
te-mi-ti-jo	N1	1
te-pe	N5	1
te-pe-ja-o	N1b	1
te-pe-u	N1	1
te-qa-ja	N1	1
te-qa-jo	N2	1
te-ra-po-si-jo	N3	3
te-ra-u-re-o	N1	1
te-ra-wo	N1,N1b	2
te-re-ja-de	N1	1
te-re-ja-wo	N5,N6	1
te-re-ne-wi-ja	N1	1
te-re-ta	N1,N1b,N4	5
te-re-te-we	N1	1
te-ru-sa	N3	1
te-so	N6	1
te-ta	N6	1
te-ta-ra-ne	N1	2
te-te-re-u	N5	1
te-to	N3	1
te-u	N1	1
te-u-ke-i-jo	N1	1
te-u-ta-ra-ko-ro	N1	1
te-u-to	N1	2
te-wa-jo	N1,N3	2
te-wa-ko-no	N1	1
ti	N3	1
ti-ja	N3	1
ti-jo	N3	2
ti-ko-ro	N3	1
ti-ma	N5,N6	1
ti-me-no	N4	1
ti-mi-za	N3	2
ti-no	N1	1
ti-nwa-si-ja	N1	2
ti-nwa-si-jo	N7	1
ti-qa-jo	N1,N5,N6	2
ti-ri-da-ro	N4	2
ti-ri-jo	N1	1
ti-ri-jo-ko-so	N3	1
ti-ri-po-di-ko	N2	1
ti-ri-to	N3	6
ti-ro	N3	1
ti-tu	N2	1
ti-za	N3	1
to	N3,N6	8
to-i-ja	N3	1
to-ke-u	N1	1
to-ko	N5,N6	1
to-ko-do-mo	N1b	1
to-ko-so-wo-ko	N1	1
to-na-ta	N1	1
to-pe-si	N1	1
to-ri-jo	N1	1
to-ro-wi	N1	1
to-ro-wi-ka	N1b	1
to-ro-wo	N1,N1b,N2	3
to-sa	N1,N3,N6	3
to-sa-no-jo	N1	1
to-so	N1,N1b,N6,N7	11
to-so-de	N1b	7
to-tu-no	N3	1
to-u-na-ta	N3	2
to-wa-no	N1	1
to-wi-no	N3	1
tu	N5,N6	3
tu-da-ra	N3	1
tu-ka-na	N6	1
tu-ka-to	N6	1
tu-ke-ne-u	N1	1
tu-ma-da-ro	N3	1
tu-ma-i-ta	N6	1
tu-ni-ja	N1b,N3,N6	11
tu-ni-jo	N1	1
tu-qa-ni-ja-so	N3	1
tu-ra-te-we	N1	1
tu-ri-jo	N1	1
tu-ri-so	N3	3
tu-ri-ta	N2	1
tu-ru-we-u	N1	1
tu-ti	N3	1
tu-ti-je-u	N1	1
tu-zo	N1,N6	2
u	N1,N3	3
u-de-wi-ne	N1	1
u-ka	N3	1
u-pa-ra	N1	1
u-pa-ra-ki-ri-ja	N1b	1
u-pi-ja-ki-ri-jo	N1b	1
u-ra-jo	N1,N3	4
u-ra-mo-no	N1,N3,N6	2
u-ro2	N3	1
u-ru-pi-ja-jo	N1	2
u-ru-pi-ja-jo-jo	N1	1
u-ta-jo	N3	19
u-ta-jo-jo	N3	14
u-ta-ni-jo	N1	1
u-ta-no	N3	9
u-wa-si-jo	N2	1
u-wa-ta	N1,N3	2
u-wo-qe-we	N1	1
vacat	N3,N6	6
vestigia	N5	1
wa	N1,N1b,N3,N6	4
wa-a2-ta	N1b	1
wa-a2-te-we	N1b	1
wa-do-me-no	N2	1
wa-du-ka-sa-ro	N3	1
wa-du-na-ro	N3	2
wa-du-ri-jo	N5	1
wa-je	N1,N6	1
wa-ka-ta	N5	1
wa-ke-i-jo	N5,N6	2
wa-na-ka	N6	1
wa-na-ka-te-ro	N4	4
wa-na-ta-jo	N2,N4,N5,N7	3
wa-ne-u	N1	1
wa-pa-no	N1	1
wa-ra-ki-no	N1	1
wa-ra-ko-no	N5	1
wa-ra-pi-si-ro	N1b	1
wa-ra-ti	N1	1
wa-ru-wo-qo	N1,N6	1
wa-ti-ko-ro	N5	1
wa-ti-ro	N5	1
wa-tu-ta	N5	1
wa-u-do-no	N1	1
wa-wo-u-de	N1b	1
we	N1	1
we-da-ne-wo	N1	1
we-e	N3	1
we-ka-ta	N1	1
we-ke-i-ja	N1	1
we-ra-te-ja	N1	1
we-re-ka-ra-ta	N1	1
we-ro-pa-ta	N1	1
we-ro-ta	N1	1
we-u-da-ne-we	N2	1
we-wa-do-ro	N3	1
we-wa-ta	N6	1
we-we-si-je-ja	N1	2
we-we-si-je-ja-o	N1b	1
we-we-si-jo	N1,N3,N5	19
we-we-si-jo-jo	N3	13
wi-da-ka-so	N3	1
wi-da-ma-ro	N3	1
wi-do-wo-i-jo	N1b	1
wi-du-ro	N1	1
wi-du-wa-ko	N1	1
wi-du-wo-i-jo	N1	1
wi-ja-ma-ro	N1,N3	2
wi-ja-na-tu	N1,N6	1
wi-ja-ni-jo	N1	1
wi-ja-te-wo	N5	1
wi-je-mo	N3	1
wi-je-so	N3	1
wi-jo	N5,N6	1
wi-jo-ka-de	N3	1
wi-jo-qo-ta	N3	1
wi-jo-qo-ta-o	N3	1
wi-jo-ro-jo	N5	1
wi-na-jo	N3	5
wi-nu-ri-jo	N1	1
wi-ra-ne	N3	1
wi-ra-ne-to	N1,N6	1
wi-ri-ne-u	N1	1
wi-ri-wo	N1	1
wi-ro	N1,N6	1
wi-ro-jo	N3	1
wi-sa-to	N2	1
wi-su-ro	N3	1
wi-ti-mi-jo	N5	1
wi-tu-ta	N1	1
wo	N3	1
wo-di-je-ja	N1,N6	1
wo-di-jo	N1	1
wo-i-ko-de	N6	1
wo-jo	N3	1
wo-ki-to	N2	1
wo-no	N3	1
wo-qo	N1	1
wo-ra-ke-re	N6	1
wo-ro-ti-ja-o	N4	1
wo-ro-to-qo	N6	1
wo-si-jo-ne	N1	1
wo-ti-jo	N1,N3,N5	3
wo-tu-wa-ne	N1b	1
wo-wa-ro	N1	1
wo-wi-ja-ta	N5	1
wo-wo	N1b,N3	4
wo-ze	N7	1
za	N3	2
za-e-to-ro	N1,N1b	2
za-ki-ri-jo	N6	1
za-mi-jo	N1,N1b,N6	2
za-ra-ro	N3	2
ze-pu2-ra3	N1	1
ze-ro	N3	1
zo-do-so	N6	1
zo-wa	N2	1
zo-wi-jo	N2	1
