word	slots	n_docs
i-mo-ro-ne-u	N5,N6	1
i-na-ne	N1	1
i-na-ni-ja	N1	1
i-na-o	N1	2
i-ne-u	N3,N6	2
i-pe-ra-ta	N5	1
i-pe-se-wa	N2	1
i-pe-ta	N3	1
i-pi	N5	1
i-qo-jo	N7	1
i-se-we-ri-jo	N1,N3	2
i-ta	N6	1
i-ta-ja	N1	1
i-ta-ra-jo	N5	1
i-te-ja-o	N1b	1
i-te-u	N1,N6	1
i-to	N1,N6	1
i-wa-ka	N1	1
i-wa-ka-o	N5	1
i-wa-ko	N1	1
i-wa-si-jo-ta	N1	1
i-wa-so	N1	3
i-we-ro	N1,N6	1
i-za-re	N1	1
ja	N1,N3,N6	6
ja-mi-nu	N1,N6	1
ja-ra-to	N3	1
ja-ti-ri	N3	1
je	N6	1
je-zo	N3	2
jo	N1,N3	7
ka	N3	1
ka-da-i-so	N3	1
ka-da-no	N3	2
ka-da-ro	N2	1
ka-di-ja	N6	1
ka-jo	N3	1
ka-ka-po	N1	1
ka-ke	N1,N6	1
ka-ke-u	N1	1
ka-ke-u-si	N2	1
ka-ko	N1	8
ka-ma	N4,N7	2
ka-ma-e-u	N4	2
ka-ma-e-we	N1	1
ka-ma-jo	N1	1
ka-ma-to	N3	1
ka-mi-ni-to	N3	2
ka-mo	N3	2
ka-mo-ni-jo	N3	1
ka-na-pe-we	N1	1
ka-ne-u-ta	N3	1
ka-ni-to	N3	2
ka-no	N6	1
ka-nu-se-u	N1b	1
ka-nu-ta-jo	N1b	1
ka-pa-ra2	N1	1
ka-pa-ra2-de	N1	2
ka-pa-ri-jo	N6	1
ka-pte	N3	1
ka-ra-do-ro	N1,N1b	2
ka-ra-do-wa-ta	N4	1
ka-ra-i	N4	1
ka-ra-na-ta	N5,N6	1
ka-ra-pa-so	N1	1
ka-ra-su-no	N2	1
ka-ra-u-ko	N5	1
ka-ra-u-ro	N1	2
ka-ra-we	N1,N6	2
ka-ra-wi-ko	N1	1
ka-ra-wi-po-ro	N4	1
ka-ra-wi-so	N1	1
ka-ri-se-u	N1,N5	2
ka-ri-se-u-qe	N1	1
ka-ri-si-jo	N5	1
ka-ro-qo	N1	1
ka-ru-no	N3	2
ka-ru-ti-je-ja-o-qe	N1b	1
ka-sa-ro	N3	1
ka-sa-to	N1	1
ka-si-da	N1b	1
ka-si-ko-no	N1	1
ka-so	N2	1
ka-ta	N1,N1b	1
ka-ta-wa	N1,N2	2
ka-ta-wo	N3	1
ka-te-u	N3	1
ka-to	N3	2
ka-wa-ro	N3	1
ka-wa-ti-ro	N1	1
ka-wi-jo	N1	1
ke-da-si	N1	1
ke-e	N1	1
ke-ka-to	N5,N6	1
ke-ke-me-na	N7	1
ke-ke-me-na-o	N4	1
ke-ki	N1,N5	3
ke-ki-de	N1,N1b	3
ke-me-u	N3	1
ke-pu	N1	1
ke-ra-me-ja	N6	1
ke-ra-me-we	N1	1
ke-ra-u-jo	N4	2
ke-re	N1	2
ke-re-no	N1,N2	2
ke-re-te	N1b	1
ke-re-te-u	N4	4
ke-re-u	N1,N4	3
ke-re-u-so	N1	1
ke-re-za	N1b	4
ke-ro	N5	1
ke-ro-si	N1	1
ke-ro-si-ja	N1,N1b	2
ke-ro-te	N1	1
ke-ro-we	N1	1
