word	count	n_docs
po-ru-da-si-jo	2	2
qe-re-wa	2	2
we-re-we	2	1
a-e-da-do-ro	2	2
a-me-ja	2	2
pu2-te-re	2	2
qi	2	2
a-qi-ra	2	2
wa-ke-i-jo	2	2
we-we-e-a	2	2
pe-re-wa-ta	2	2
du	2	2
a2-ta	2	2
ti-ri-jo-qa	2	2
pu2-re-wa	2	2
we-wa-do-ro	2	2
ni-ja	2	2
e-pi	2	2
ke-re-wa	2	2
di-wi-ja-wo	2	2
ma-ti-ko	2	2
ma-se	2	2
po-ki	2	2
e-we-de-u	2	2
ru-ki-ti-ja	2	2
a-ke-ra-wo	2	2
a-pu2-ka	2	2
to-qa	2	2
ka-ro	2	2
ma-ro-ne	2	2
po-ro-ko-wa	2	2
de-ma-si	2	2
qa-ti-ja	2	2
ka-ru-no	2	2
ri-wi-so	2	2
di-ta-ka-so	2	2
ku-ka-so	2	2
e-ra-jo	2	2
pu-da-so	2	2
ko-no-ni-pi	2	2
ke-u-po-da-o	2	2
mu-ko	2	2
ko-we-jo	2	2
pa-sa-ja	2	2
ku-mi-so	2	2
a-du	2	2
du-pu2-ra-zo	2	2
wa-je	2	2
da-i-ra	2	2
o-du	2	2
qe-ra-jo	2	2
nu-to	2	2
o-nu-ka	2	2
dwo-jo	2	2
ru-ki	2	2
di-za-so	2	2
re-me-to	2	2
wa-du-na	2	2
e-ro-pa-ke-ja	2	2
ke-ri-mi-ja	2	2
i-ta-ja	2	2
ti-mu-nu-we	2	2
si-da-jo	2	2
a-to-mo-na	2	2
po-ki-ro	2	2
di-ka-ta-ro	2	2
a-ta-no	2	2
wi-jo-qo-ta-o	2	2
e-so-to	2	2
a-mo-ra-ma	2	2
no-si-ro	2	2
ma-di	2	2
pa-ta-u-na	2	1
ta-so	2	2
ko-me-no	2	2
re-po-so	2	2
no-da-ro	2	2
au	2	2
ke-ja	2	2
ne-o	2	2
te-qa-ja	2	2
tu-zo	2	2
ku-tu-qa-no	2	2
wi-da-ma-ta2	2	2
tu-ka-na	2	1
a-re-i-jo	2	2
te-pe-ja	2	2
de-ko-to	2	2
sa-ma-ri-wa-ta	2	2
o-pi-si-ri-ja-we	2	2
tu-ti	2	2
a-ro-we	2	2
tu-ri-si-jo	2	2
ra-ti-jo	2	2
a-pu-do-ke	2	2
e-re-pa-to	2	2
ka-so	2	2
pi-mo-no	2	2
re-po-to	2	2
sa-pa	2	2
ka-ra-we	2	2
ne-we	2	2
da-mi	2	2
re-ne	2	2
a-ro2-e	2	2
me-sa-ta	2	2
e-to-ro-qa-ta	2	2
a-ka-wo	2	2
