word	count	n_docs
a-pi-e-ra	2	2
ka-do-wo	2	2
i-te-re-wa	2	2
pa-ku-ro2	2	2
me-nu-a2	2	2
ma-se-de	2	2
me-za-na	2	2
e-re-u-te-re	2	2
a-ka-re-u-te	2	1
tu-ni-jo	2	2
e-ri-no-wo-te	2	2
a-ne-u-te	2	1
ma-u-ti-jo	2	2
ka-ta-wa	2	2
pe-qe-we	2	2
po-ko-ro	2	2
wi-ja-te-we	2	2
po-te-u	2	2
o-ku-ka	2	2
ko-ru-no	2	2
o-wa-ko	2	2
to-ro-wi	2	2
a-no-po	2	2
e-ti-ra-wo	2	2
ke-sa-me-no	2	2
pu-wi-no	2	2
ka-sa	2	2
ti-tu	2	2
a-no	2	2
a-ko-ro-we	2	1
re-u-ko	2	2
a-ta-tu-ro	2	2
ne-ti-ja-no	2	2
ke-re-no	2	2
ti-ri-po-di-ko	2	2
ke-we-no	2	2
wi-ja-we-ra2	2	2
ma-ra-ni-jo	2	2
a-ri-wo	2	2
di-u-ja	2	2
sa-ke-re-we	2	2
ko-do-jo	2	2
o-ke-u	2	2
a-mo-te-wo	2	2
mo-ro-qo-ro	2	2
ra-pa-do	2	1
sa-ke-re-u	2	2
mo-ro-qo-ro-jo	2	2
o-pe-te-re-u	2	2
ke-ta	2	2
te-re-ja	2	2
e-o	2	2
qe-ja-me-no	2	2
e-u-ke-to-qe	2	2
ke-ke-me-no	2	2
u-wa-mi-ja	2	2
ta-ra-mi-ka	2	2
o-pi-ti-ni-ja-ta	2	2
ne-qe-wo	2	2
e-da-e-wo	2	2
e-me-de	2	2
i-do-me-ne-ja	2	2
pa-da-je-u	2	2
ke-ra-u-jo	2	2
ka-ra-u-du-ro	2	2
ma-ra3-wa	2	2
ku-so	2	2
a-i-qe-u	2	2
wi-dwo-i-jo	2	2
i-pa-sa-na-ti	2	2
ka-ma-e-we	2	2
wo-zo-te	2	2
ka-ra-wi-po-ro-qe	2	2
te-se-u	2	2
ma-re-ku-na	2	2
e-pa-sa-na-ti	2	2
i-e-re-u	2	2
a3-wa-ja	2	2
po-te-wo	2	2
wa-na-ta-jo-jo	2	2
i-ni-ja	2	2
si-ma	2	2
e-ra-ta-ra	2	2
qe-re-qo-ta-o	2	1
tu-ri-ja-ti	2	2
a-da-ma-o-jo	2	1
ra-ku-ro-jo	2	2
pi-ke-re-we	2	1
dwo	2	2
e-ri-ta	2	1
ka-ra-wi-po-ro	2	2
po-se-da-o-no	2	2
o-wi-de	2	2
te-me-no	2	1
to-so-jo	2	1
wo-ro-ki-jo-ne-jo	2	2
ru-ko-u-ro	2	2
a-ne-o	2	2
ko-ka-ro	2	2
a-ki-to-jo	2	2
ke-ko-jo	2	2
a3-ki-a2-ri-jo	2	2
di-pte-ra-po-ro	2	2
ze-u-ke-u-si	2	2
a-ki-to	2	2
so-de	2	2
wa-na-ke-te	2	2
po-ro-wi-to	2	2
u-po-jo	2	2
e-re-de	2	2
jo-i	2	2
tu-ra-te-u-si	2	2
ru-ki-jo	2	2
a-ti-pa-mo	2	2
ka-ra-pa-so	2	2
po-wi-te-ja	2	2
e-u-po-ro-wo	2	2
te-u-to	2	2
pa-qo-ta	2	2
au-ta-mo	2	2
po-ro-u-jo	2	2
o-tu-wo-we	2	2
o-pe-ra-no	2	2
ri-ja-ko	2	2
a-pe-te-u	2	2
re-u-si-wo	2	2
ko-re-te-re	2	2
pa-ki-ja-pi	2	2
za-ma-e-wi-ja	2	2
e-ke-ro	2	2
te-po-se-u	2	2
ti-mi-to-a-ke-e	2	2
si-re-wa	2	2
sa-ma-ra	2	2
a3-me-wa	2	2
wa-a2-te-pi	2	2
e-sa-re-u	2	2
a-ki-ti-to	2	2
te-tu-ru-we	2	2
o-u-di-do-to	2	2
pe-ra3-ko-ra-i-ja	2	2
a-mu-ta-wo	2	2
e-po-me-ne-we	2	2
ko-re-te-ri	2	1
da-mo-ko-ro	2	2
ka-e-se-u	2	2
de-de-me-no	2	2
za-ku-si-ja	2	2
a-me-ja-to	2	2
e-te-wa-jo	2	2
qe-to-ro-we	2	1
e-ne-wo	2	1
o-pi-ke-re-mi-ni-ja	2	2
a-di-ri-ja-pi	2	2
pe-de-we-sa	2	1
qo-u-ka-ra	2	1
po-ro-e-ke	2	2
ku-te-se-ja	2	2
ku-wa-no	2	1
pa-ra-ku-we-qe	2	1
po-ni-ki-pi	2	1
a-ka-ra-no	2	1
to-qi-de-qe	2	1
ka-ru-pi	2	1
a-pu-ke	2	1
a-pe-ne-wo	2	1
we-e-wi-ja	2	1
wi-ri-no	2	1
e-ra-pe-ja	2	1
mu-te-we	2	1
po-qa	2	2
pa-de-we	2	1
ku-pa-ro2	2	2
do-se	2	1
tu-ro2	2	2
ka-ra	2	2
a2	2	2
e-to-ki-ja	2	2
qa-ra-de-ro	2	1
pa-ta-jo	2	2
di-wo-nu-so	2	2
mut	2	2
pe-ri-ke	2	2
o-ke-u-ri-jo	2	2
ka-na-pe-we	2	2
do-re-ja	2	2
o-u-ko-we-i	2	2
do-ra-a2-ja	2	2
e-re-o-ni	2	2
a-po-re-we	2	2
do-de	2	2
di-u-ja-wo	2	2
pe-pi-te-me-no-jo	2	2
a-ka-to-wa-o	2	2
e-pe-i-ja-o	2	2
e-ri-ni-jo	2	1
ro-we-wi-ja	2	2
wa-ra-pi-si-ro	2	2
e-ke-ne	2	2
mo-i-da	2	2
au-wi-ja-to	2	2
qa-ru-ko	2	2
a-ne-a2	2	2
ma-no	2	2
ke-ra-so	2	2
ma-ra-tu-wo	2	2
a-ke-re-wi-jo	2	2
pu2-ke	2	2
ku-mi-no	2	1
a-ko-ro-ta	2	2
o-u-ko	2	2
o-u-ka	2	1
ka-na-pe-u-si	2	2
qe-ti-ja	2	2
ni	2	2
tu-ka-te-qe	2	1
ki-ra-qe	2	1
to-ra-ka	2	1
pi-pi	2	2
su-ro-no	2	2
di-no-zo	2	2
u-pa-ta-ro	2	2
de-u-ki-jo-jo	1	1
di-ka-ta-jo	1	1
a-ne-mo	1	1
sa-na-to-de	1	1
a-ro-do-ro-o	1	1
di-wi-jo-jo	1	1
o-ja-de	1	1
qe-sa-ma-qa	1	1
ta-mi-te-mo	1	1
ra-pa-to	1	1
pi-pi-tu-na	1	1
au-ri-mo-de	1	1
a-ne-mo-i-je-re-ja	1	1
a-ma-ko-to	1	1
jo-te-re-pa-to	1	1
e-ke-se-si	1	1
qe-ra-si-jo	1	1
e-ti-wa	1	1
ka-u-da	1	1
ja-pe-re-so	1	1
ki-ri-jo-de	1	1
o-ne-ro2-i	1	1
sa-me	1	1
ke-me-no	1	1
a-to	1	1
zo-do-so	1	1
a-sa-ro	1	1
ko-so	1	1
su-ke-re	1	1
ta-re-wo	1	1
sa-no	1	1
e-u-da-i-ta	1	1
su-ki-ri-ta-pi	1	1
a-pe-re	1	1
te-pa-ra	1	1
qa-ra2-wo	1	1
a-ta-na-po-ti-ni-ja	1	1
e-nu-wa-ri-jo	1	1
pa-ja-wo-ne	1	1
ko-ro-sa-no	1	1
po-ro-tu-qo-no	1	1
i-mo-ro-ne-u	1	1
e-qe-a-o	1	1
e-we-wa-ta	1	1
ta-ra-me-to	1	1
wi-da-jo	1	1
di-we-so	1	1
o-ku-na-wo	1	1
i-to-ma	1	1
o-ro-ke-u	1	1
ti-ri-sa-ta	1	1
pe-se-ro-jo	1	1
pe-ka-wo	1	1
mi-ka-to	1	1
po-ru-ka-to	1	1
te-wa	1	1
ka-wi-ja	1	1
a-ka-to-wa	1	1
a-ka-me-ne	1	1
ka-ta-ra	1	1
ka-wi	1	1
ru-po-to	1	1
ki-je-u	1	1
a-pi-ja-re	1	1
di-wi-je-ja	1	1
ki-si-wi-je-ja	1	1
mi-ko	1	1
ko-wi-ro-wo-ko	1	1
a3-te-re	1	1
e-wi-ta-jo	1	1
ki-ra2-i-jo	1	1
pa-we-pi	1	1
i-ja	1	1
a-ki-re-u	1	1
ma-ki	1	1
za-ki-ri-jo	1	1
a-ku-wo	1	1
za-mi-so	1	1
a-ku-di-ri	1	1
pe-da	1	1
u-wa-si-jo	1	1
e-ro-e-o	1	1
ne-jo	1	1
u-o	1	1
wo-ne	1	1
a2-ke-te-re	1	1
ra-mo	1	1
da-o-ta	1	1
e-u-o-mo	1	1
e-pi-da-o	1	1
wo-no-da	1	1
qa-mi-si-jo	1	1
pa-ze-qe	1	1
ke-wo	1	1
pu-ra-ko	1	1
i-ke-se	1	1
u-wo-qe-ne	1	1
u-du-ru-wo	1	1
ku-pa-sa	1	1
a-ke-to-ro	1	1
to-ni	1	1
a-pi-do-ro	1	1
ma-u-do	1	1
i-ja-wo-ne	1	1
we-we-ro	1	1
e-u-ru-qo-ta	1	1
da-te-wa	1	1
te-ra-pe-te	1	1
ro-a	1	1
ri-u-no	1	1
to-ko-so-ta	1	1
a-te-u-ke	1	1
ta-ta-ta	1	1
da-na	1	1
e-u-ko-me	1	1
ne-je-ta	1	1
ma-ke-ra-mo	1	1
qa-ra-su-ti-jo	1	1
i-da-ra-ta	1	1
wa-si-ro	1	1
a-pi-po-re-we	1	1
i-po-no	1	1
e-u-ru-da-mo	1	1
do-ri-wo	1	1
wo-ra-ke-re	1	1
ri-to-wo	1	1
je	1	1
pe-ri-to	1	1
a-pi-da-ta	1	1
po-ru-te-we	1	1
u-po-we	1	1
sa-u-ko	1	1
pi-ra-qo	1	1
a-re-u-ke	1	1
a-ro-wo-ta	1	1
a-ne-te-wa	1	1
ko-ma-ra	1	1
te-re-ja-wo	1	1
a-re-se	1	1
to-ni-ja	1	1
te-ra-po-ti	1	1
pa-to-ro	1	1
a-pi-re-jo	1	1
ta-ra-sa-ta	1	1
a-ke-ra-no	1	1
a-re-jo	1	1
ma-ti-ri	1	1
pa-sa-ko-me-no	1	1
e-re-pa-i-ro	1	1
na-u-si-ke-re	1	1
a-ne-u-da	1	1
di-wo-a-ne	1	1
me-za-wo	1	1
pa-di-jo	1	1
o-pi-ri-mi-ni-jo	1	1
a-qa-ro	1	1
a-mi-ni-si	1	1
e-ro-e	1	1
qe-ra-di-ri-jo	1	1
i-sa-wo	1	1
di-so	1	1
pa-wa-so	1	1
i-ka-se	1	1
s	1	1
si-mo	1	1
sa-ma-da	1	1
ti-ja-no	1	1
o-u-ki-te-mi	1	1
a-pe-ti-ra2	1	1
i-ku-wo-i-pi	1	1
wo-do	1	1
re-ka-se-ra-wo	1	1
a-u-ta-na	1	1
na-pi	1	1
du-pi-jo	1	1
ra-wa-si-jo	1	1
wo-ro-to-qo	1	1
me-ta-ri-ko-wo	1	1
ta-ra-i	1	1
e-ko-so-wo-ko	1	1
e-na-i-jo	1	1
e-ri-ta-ri-jo	1	1
ra-ke-re-we	1	1
do-qi	1	1
ta-na-ti	1	1
e-we-wa	1	1
ti-ma	1	1
e-pi-ta	1	1
te-me-u	1	1
a-pa-te	1	1
wo-ni-jo	1	1
a-ri-we-we	1	1
a-ta-wo-ne	1	1
we-wa	1	1
no-da-ma	1	1
ra-wo-te	1	1
i-da-wo	1	1
ze-pu	1	1
ke-to-ri	1	1
ke-si-jo	1	1
pe-ra-te-ro	1	1
a-pi-re-we	1	1
wi-to	1	1
o-pa-wo-ne-ja	1	1
pe-da-i-ra	1	1
du-ni-ja	1	1
a-ne-ra-to	1	1
do-re-we	1	1
du-pu2-so	1	1
e-pi-ko-wa	1	1
ka-pa-ri-jo-ne	1	1
i-su-ku-wo-do-to	1	1
de-u-jo-i	1	1
ra-ma-na-de	1	1
ka-ra-e-i-jo	1	1
pa-ja-ni-jo	1	1
o-mi-ri-jo-i	1	1
e-ra-de	1	1
ma-si-dwo	1	1
qe-te-a	1	1
te-re-no	1	1
di-wo-pu-ka-ta	1	1
a-ku-tu-ru-wo	1	1
u-te-si	1	1
to-so-ku-su-pa	1	1
mu-to	1	1
de-ka-sa-to	1	1
o-se-ko-do	1	1
ma-qa-to	1	1
jo-te	1	1
ko-ro-ja-ne	1	1
re-pi-ru-nu-we	1	1
do-ni-ja	1	1
tu-ri	1	1
qa-nu-we	1	1
ro-to-qa	1	1
u-ru-pi-ja	1	1
mu-ki-ti	1	1
di-ko-to	1	1
e-ma-a2-o	1	1
a-ka-re-u	1	1
su-ri-mi-jo	1	1
a3-ta-jo	1	1
tu-to	1	1
e-pu2-no	1	1
ti-ri-ti	1	1
mu-ti-ja	1	1
pu2-ru-da-ro	1	1
di-ra	1	1
ki-te	1	1
ta-ra-jo	1	1
de-wa-pi	1	1
ko-so-ni-ja	1	1
to-i-ja	1	1
o-re-te-wo	1	1
qo-si-jo	1	1
pu-si-ja	1	1
ka-da-ra-so	1	1
qa-ka	1	1
ri-si-ja	1	1
sa-me-u	1	1
a-ri-ja-wo-ne	1	1
mi-ti	1	1
qa-ra-i-so	1	1
si-ra-no	1	1
i-ra-ko-to	1	1
ko-ru-we-ja	1	1
po-pu-re-ja	1	1
pu-ka-ta-ri-ja	1	1
o-ro-qa	1	1
pe-ri-ro-qo	1	1
qo-u-qo-ta	1	1
a-mi-nwa	1	1
me-to	1	1
a-ta-ma-si	1	1
na-ko-to	1	1
pa-ki	1	1
na-po	1	1
a-na-re-u	1	1
mu-ka-ra	1	1
ja-ma-ra	1	1
pa-ja	1	1
po-mi-ni-jo	1	1
pe-do	1	1
si-ra-ri-ja	1	1
tu-wi-no	1	1
pe-re-ke	1	1
e-te-jo	1	1
qe-re-jo	1	1
ku-da-ra-ro	1	1
ta-qa-ra-te	1	1
tu-ri-si-ja	1	1
a-ro-zo	1	1
ja-pu2-wi-ja	1	1
no-nu-we	1	1
a-po-te	1	1
ri-jo-ni-jo	1	1
e-ze-to	1	1
to-ro-qo	1	1
su-mo-no-qe	1	1
a3-ka-ra	1	1
pa-ra-ku-ja	1	1
e-ta-wo-ne-we	1	1
po-ri-wa	1	1
i-ku-tu-re	1	1
ru-si-qe	1	1
a-pa-i-ti-jo	1	1
ze-me-qe	1	1
a-qo-ta	1	1
zo-ta-qe	1	1
ku-do-ni-ja-de	1	1
di-du-me	1	1
nu-wa-i-ja	1	1
o-pe-te-wo-qe	1	1
o-re-ne-a	1	1
a-ta-qe	1	1
ka-nu-se-u	1	1
ta-to-qe	1	1
o-po-ro-u-si-jo	1	1
pe-te-u	1	1
e-ri-ta-qi-jo	1	1
te-so	1	1
qa-qa-ro	1	1
ni-jo	1	1
pe-ro-qe	1	1
tu-ma-i-ta	1	1
ta-pa-da-no	1	1
no-do-ro-we	1	1
e-ne-o	1	1
pi-ro-qa-wo	1	1
qe-te-se-u	1	1
to-te-ja	1	1
a-pe-a-sa	1	1
i-ta-mo	1	1
ki-nu-qa	1	1
we-ra-te-ja	1	1
we-ko-we-ka-te	1	1
a-no-zo-jo	1	1
a-ke-wo	1	1
di-qa-ra	1	1
ta-ra2	1	1
ru-si	1	1
ko-so-jo	1	1
ko-pi	1	1
a-to-me-ja	1	1
da-te-ne-ja	1	1
pa-ja-ni	1	1
du-sa-ni	1	1
ma-ku	1	1
pi-ra-ka-ra	1	1
wi-so	1	1
ke-ra-me-ja	1	1
i-du	1	1
tu-ka-to	1	1
e-ti-wa-ja	1	1
sa-ma-ti-ja	1	1
ka-na-to-po	1	1
u-jo-na	1	1
sa-mi	1	1
pu-wa	1	1
si-nu-ke	1	1
si-ne-e-ja	1	1
u-pa-ra	1	1
ru-ta2-no	1	1
ke-pu	1	1
wa-ra-ti	1	1
a-nu-wa-to	1	1
o-a-po-te	1	1
o-u-qe-po	1	1
da-mo-ko	1	1
a-re-ta-wo	1	1
i-ja-pu2-we	1	1
e-ra-pe-me-na	1	1
ke-se-ne-wi-ja	1	1
pa-we-o	1	1
nu-we-jo	1	1
no-mo	1	1
ki-ti-jo	1	1
ja-pa-ra-ro	1	1
po-ti	1	1
ra-ku	1	1
ra-te-me	1	1
sa-ma-ru	1	1
ja-ma-ta-ro	1	1
pe-to-me	1	1
pe-ki-ti	1	1
za-we	1	1
au-u-te	1	1
a-pe-i-si	1	1
o-mu-ka-ra	1	1
sa-mu	1	1
qo-ja-te	1	1
tu-wi-no-no	1	1
ja-do	1	1
mi-dwe	1	1
e-ti-wa-ja-qe	1	1
ti-ra	1	1
ka-ra-ma-to	1	1
ke-ma-ta	1	1
ko-sa-ma-to	1	1
te-ki-ri-ne-to	1	1
a-mi-ke-te-to	1	1
ne-ki-ri-si	1	1
e-ki	1	1
po-ro-i-ra	1	1
re-mo	1	1
e-pi-ki-to-ni-ja	1	1
e-ta-wo-ne-wo	1	1
e-ne-ro	1	1
e-pi-ro-pa-ja	1	1
o-du-we	1	1
ko-we-ja	1	1
a-nu-to-jo	1	1
ku-su-pa-ta	1	1
da-nwa	1	1
da-pu2-ri-to-jo	1	1
ku-do-ni-jo	1	1
ma-ri-ne-we	1	1
ta-wa-ko-to	1	1
ke-re-na	1	1
e-ne-si-da-o-ne	1	1
su-ja-to	1	1
o-re-o-po	1	1
ze-ne-si-wi-jo	1	1
ke-do-ro	1	1
di-wi-pa-ra	1	1
te-wo	1	1
ri-ni-jo	1	1
wi-jo-jo	1	1
da-ro	1	1
a-ro2	1	1
ka-a-na	1	1
ma-wo	1	1
re-o	1	1
ko-a	1	1
pi-ri-je	1	1
ma-sa-de	1	1
ti-ta-ma-i	1	1
a-sa-mi	1	1
ti-ri-ti-jo	1	1
tu-ra-te-we	1	1
wa-wi	1	1
re-ne-o	1	1
po-pu-ro2	1	1
ku-ta-mi	1	1
ni-ja-we-jo	1	1
ra-su-ti-jo	1	1
ra-ma-na	1	1
e-ne-ra	1	1
a-ze-to	1	1
a3-du-wo-na	1	1
wi-ja-na-tu	1	1
wi-tu-ri-jo	1	1
ka-ta-ni-ja	1	1
ki-to-ne	1	1
ki-nu-wa	1	1
ki-ri-te-wi-ja-i	1	1
do-ke-u	1	1
re-ta	1	1
si-re-we	1	1
we-ra-ti-ja	1	1
ki-ri-ta	1	1
ki-to-na	1	1
ki-to-pi	1	1
e-pi-ko-ru-si-jo	1	1
a-da-ra-ko	1	1
pu-ko-to	1	1
ko-ma-we-ta	1	1
pe-qo-no	1	1
ra-wo-qo-no	1	1
ko-a-ta	1	1
ku-ni-ta	1	1
o-pi-te-u-ke-we	1	1
da-i-pi-ta	1	1
wi-du-ro	1	1
qo-ja-si	1	1
di-de	1	1
qa-wo	1	1
pu2-ra-ne-jo	1	1
o-pe-ta	1	1
a-ta-ma-ta	1	1
e-ke-se	1	1
a-tu-qo-ta	1	1
sa-za-ro	1	1
ku-pe-re-te	1	1
me-ne-u	1	1
me-ta-ra-wo	1	1
a-me-ja-si	1	1
a-wo-ro	1	1
na-si-jo	1	1
me-de-i-jo	1	1
we-ro-pa-ta	1	1
e-re-ke	1	1
do-ri-jo	1	1
a-ki-wa-ta	1	1
ki-ri-ja-si	1	1
e-u-ka-ri	1	1
e-ri-ti-qi	1	1
ko-ku-ro	1	1
to-na-ta	1	1
a-so-qi-jo	1	1
wo-qo	1	1
do-qe-u	1	1
a-ki	1	1
e-i-ja-si	1	1
po-ti-jo	1	1
pi-ja-to	1	1
to-pe-si	1	1
me-de	1	1
i-za-re	1	1
a-ra-ka-jo	1	1
po-ki-te	1	1
to-wa-no	1	1
e-wi-to-wo	1	1
ma-ja-ro	1	1
ra-sa-to	1	1
sa-do-ro-jo	1	1
a-pi-ja-ko-ro-jo	1	1
mi-jo	1	1
we-ke-i-ja	1	1
ku-ta-ti-ja-qe	1	1
ke-u-po-de-ja	1	1
e-qe-ta-e	1	1
ku-te-ro	1	1
ku-ro2-jo	1	1
tu-wi-jo	1	1
ta-pa-e-o-te	1	1
a-pi-qo-i-ta	1	1
ta-na-qo	1	1
a-pa-ta-wa-jo	1	1
te-ko-to-ne	1	1
a-wa-ti-ka-ra	1	1
di-da-ka	1	1
du-wi-ja	1	1
e-ke-a	1	1
e-mi-ja-ta	1	1
ka-mu-ko-to	1	1
ke-ra-ja	1	1
ma-ke-ra	1	1
de-ro	1	1
a-ti-ka	1	1
qa-da-ro	1	1
ka-sa-no	1	1
to-ro-ki-no	1	1
wi-ri-ki-no	1	1
do-ti-jo-no	1	1
ka-pu-ro	1	1
ka-na-po-to	1	1
pi-ma	1	1
ta-u-ro	1	1
ja-sa-ro	1	1
ku-ka-da-ro	1	1
pi-di-jo	1	1
te-wa-te-u	1	1
ta-ko-ro	1	1
a-ke-re-mo	1	1
ke-ma-qe-me	1	1
me-ra	1	1
ke-nu-wa-so	1	1
a-pu-da-se-we	1	1
mi-sa-ra-jo	1	1
sa-pi-ti-ne-we-jo	1	1
e-ra-wa	1	1
me-a-de	1	1
ki-da-ro	1	1
ta-ra-qo	1	1
ta-u-pa-du-we	1	1
ra-wa-e-si-jo	1	1
no-so	1	1
a-no-qo-ta-o	1	1
da-na-mo	1	1
pu-ta-ri-ja	1	1
ma-si-jo	1	1
ma-so-qe	1	1
jo-zo	1	1
su-ma-ri-jo	1	1
ma-ki-nu-wo	1	1
jo-e-ke-to-qo	1	1
wo-na-si	1	1
we-je-we	1	1
su	1	1
pu-ta	1	1
sa-de-so	1	1
re-wa-jo	1	1
te-tu-ko-wo-a	1	1
ke-ra-a	1	1
ne-qa-sa-pi	1	1
u-do	1	1
sa-me-ti-jo	1	1
i-je-re-wi-jo	1	1
a-pi-te	1	1
de-ra	1	1
ma-te-u-pi	1	1
e-te-re-ta	1	1
po-ro-ti-ri	1	1
po-ni-ke-a	1	1
wo-ra-we-sa	1	1
e-na-ri-po-to	1	1
po-ro-su-re	1	1
o-mo-pi	1	1
e-ka-te-re-ta	1	1
we-ja	1	1
a-te-re-te-a	1	1
pe-te-re-wa	1	1
ka-ki-jo	1	1
ka-ko-de-ta	1	1
ki-da-pa	1	1
o-da-tu-we-ta	1	1
e-po-ro-jo	1	1
wo-no-qo-so-qe	1	1
to-ma-ko-qe	1	1
e-wo-ta-de	1	1
si-pe-we	1	1
e-ra-ne	1	1
o-du-ru-we	1	1
u-wo-qe-we	1	1
ku-ta-i-to	1	1
re-ri-jo	1	1
ka-ta-ra-i	1	1
ma-mi-di-zo	1	1
pi-ri-to-jo	1	1
po-ri-wo	1	1
su-ki-ri-ta-jo	1	1
ja-ru	1	1
pa-ta-ti-jo	1	1
a-du-po-to	1	1
qi-ko-we-e	1	1
qa-di-ja	1	1
po-ku-te-ro	1	1
ra-ri-di-jo	1	1
o-mi-ri-so	1	1
re-ko-no-jo	1	1
da-we-ro	1	1
pu-na-to	1	1
e-te-wa-tu-wo	1	1
i-ro-to	1	1
a-da-wa-si-jo	1	1
po-ku	1	1
su-pu-wo	1	1
do-e-ro-jo	1	1
e-te-wa-no	1	1
pa-ra-ti-jo	1	1
a-ka-wi-ja-de	1	1
re-ko-no	1	1
wi-da-ma-ro	1	1
ni-ja-so	1	1
te-ru-wo-te	1	1
to-wi-no	1	1
tu-da-ra	1	1
sa-jo	1	1
e-pe-ke	1	1
qa-ra2-ro	1	1
ma-so-mo	1	1
da-ta-ra-mo	1	1
qi-ta-ro	1	1
sa-pa-ka-te-ri-ja	1	1
po-ti-ni-ja-we	1	1
a-ko-i-da	1	1
qa-nwa-so	1	1
ta-mi-de-so	1	1
ku-mo-no	1	1
ke-u-sa	1	1
pa-za-ti	1	1
i-pe-ta	1	1
pa-de-i	1	1
ke-to-ro	1	1
we-wo-ni-jo	1	1
me-tu-ro	1	1
po-ro-i	1	1
ma-na-je-u	1	1
te-te-u	1	1
wi-pi-no-o	1	1
wo-ka-re	1	1
a-ri-ke-u	1	1
au-to-a3-ta	1	1
te-re-wa-ko	1	1
a3-wa	1	1
tu-ma-ko	1	1
ku-pe-te-jo	1	1
pu-na-so-qe	1	1
e-ri-ke-re-we	1	1
e-ke-pu-te-ri-ja	1	1
o-du-ru-wi-ja	1	1
po-to-ri-ka-ta	1	1
do-wo	1	1
de-de-me-na	1	1
e-ki-si-jo	1	1
tu-ru-pe-te	1	1
a3-ki-wa-to	1	1
si-ra	1	1
ka-ra-na-ko	1	1
a-ri-ja-wo	1	1
e-we-ki-ta	1	1
ma-ki-ro-ne	1	1
da-i-mi-so	1	1
pi-ra-ki-jo	1	1
pe-ri-jo-ta-qe	1	1
ku-da-jo-qe	1	1
e-wa-ko-ro	1	1
ki-ra-di-ja	1	1
ko-ro-we-ja	1	1
po-ro-we	1	1
wo-no-qo-so	1	1
nwa-jo	1	1
ma-ti-jo	1	1
qi-ni-te-we	1	1
wo-ro-ka-ne	1	1
e-pi-ko	1	1
ra-wa-ke	1	1
qo-jo	1	1
po-da-ko-qe	1	1
pe-ri-je-ja	1	1
pu-te-ri-ja	1	1
o-ta-re-wo	1	1
ki-ri-ko	1	1
da-i-wo-wo	1	1
to-no-qe	1	1
we-ka-ta-e	1	1
me-ri-du	1	1
pu-sa-ra	1	1
da-ma-o-te	1	1
ko-te-u	1	1
pi-sa-wa-ta	1	1
wo-si-jo-ne	1	1
te-o-po-ri-ja	1	1
ka-te-u	1	1
di-ra-qo	1	1
i-ke-se-ra	1	1
e-ki-no	1	1
a-ko-ro-qo-ro	1	1
e-ne-ke-se-u	1	1
o-ku-no	1	1
po-i-te-u	1	1
ki-mu-ko	1	1
ri-sa-ta	1	1
qa-i-po	1	1
a3-ku-pi-ti-jo	1	1
a-du-ru-po-to	1	1
te-to	1	1
ka-ta-wo	1	1
a-qi-ro	1	1
e-qa-ro	1	1
no-ta-na	1	1
ta-ra-to-no	1	1
a3-ke-ta	1	1
qi-ja-to	1	1
du-ri	1	1
sa-ma-ri-jo	1	1
da-to-ja-ro	1	1
wi-jo-ka-de	1	1
a-re-ke-se-u	1	1
a-wo-ti-jo	1	1
a-ni-ja-to	1	1
du-ta-so	1	1
a-qe-mo	1	1
e-ro-u-ta	1	1
wi-je-so	1	1
da-i-qo-ta	1	1
au-ta2	1	1
ku-ru-me-ni-jo	1	1
o-we-to	1	1
i-mi-ri-jo	1	1
du-ro	1	1
a-ke-e-to	1	1
pa-u-ro	1	1
pa-ja-so	1	1
o-ne-u	1	1
da-wi	1	1
mo-re	1	1
o-wi-ro	1	1
da-ra-mu-ro	1	1
de-a-ta	1	1
a-ze-o	1	1
sa-nu-we-ta	1	1
ka-pte	1	1
da-i-ta-ra-ro	1	1
pu-nu-so	1	1
qa-ra2-ti-jo	1	1
ko-ku	1	1
ra-wi-zo	1	1
ki-ri-ne-to	1	1
ra-o-no	1	1
me-ri-wa-ta	1	1
sa-ze-ro	1	1
qi-si-ta	1	1
wi-je-mo	1	1
se-wo-to	1	1
a-ti-ro	1	1
ka-ma-to	1	1
si-ni-to	1	1
wi-su-ro	1	1
ka-wa-ro	1	1
mo-ni-ko	1	1
sa-sa-jo	1	1
qi-zo	1	1
mi-ta-qo	1	1
ka-mo-ni-jo	1	1
ma-ra-pi-jo	1	1
qa-da-so	1	1
ru-ki-so	1	1
ra-u-ra-ta	1	1
ja-ti-ri	1	1
de-ni-mo	1	1
na-ru	1	1
wi-jo-qo-ta	1	1
ku-ke-so	1	1
su-ru-so	1	1
ku-mo-no-so	1	1
po-i-ti-jo	1	1
da-i-ze-to	1	1
su-ta-no	1	1
a-no-qo	1	1
da-na-jo	1	1
ki-mu-ku	1	1
mu-da	1	1
ku-ka-no	1	1
te-mi-ro	1	1
si-ki-to	1	1
ra-ro	1	1
ra-to-jo	1	1
ta-pe-ro	1	1
a-ri-ko	1	1
e-ra-to	1	1
qe-ri	1	1
se-me-tu-ro	1	1
e-wa-ra-jo	1	1
tu-ma-da-ro	1	1
o-to-ro-qa	1	1
pa-ra-to	1	1
ma-ta-u-ro	1	1
e-me-si-jo	1	1
mo-qo-so	1	1
mi-ni-to	1	1
ti-ri-jo-ko-so	1	1
ti-ri-ti-ja	1	1
e-u-me-ta	1	1
e-u-mo	1	1
ku-ke-to	1	1
ku-ne-u	1	1
se-do	1	1
se-u	1	1
wi-da-ka-so	1	1
su-ma-no	1	1
